index,class,comment_sentence,partition,combo,labels
1,Abfss.java,this impl delegates to the old filesystem,0,this impl delegates to the old filesystem | Abfss.java,"[0, 0, 1, 0, 0, 0, 0]"
48,CapacitySchedulerPlanFollower.java,"this implementation of planfollower is relatively stateless, and it can",0,"this implementation of planfollower is relatively stateless, and it can | CapacitySchedulerPlanFollower.java","[0, 0, 0, 0, 0, 0, 1]"
50,CapacitySchedulerPlanFollower.java,differences among existing queues .,0,differences among existing queues . | CapacitySchedulerPlanFollower.java,"[0, 0, 0, 0, 0, 0, 1]"
52,CapacitySchedulerPlanFollower.java,"synchronization, and rm restart issues no catch up is necessary .",0,"synchronization, and rm restart issues no catch up is necessary . | CapacitySchedulerPlanFollower.java","[0, 0, 0, 0, 0, 0, 1]"
53,Classpath.java,the output likely will include wildcards in the classpath.,0,the output likely will include wildcards in the classpath. | Classpath.java,"[0, 0, 1, 0, 0, 0, 0]"
56,ComparableVersion.java,code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1.,0,code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1. | ComparableVersion.java,"[0, 0, 0, 0, 1, 0, 0]"
58,ComparableVersion.java,generic implementation of version comparison.,0,generic implementation of version comparison. | ComparableVersion.java,"[1, 0, 0, 1, 0, 0, 0]"
59,ComparableVersion.java,p features,0,p features | ComparableVersion.java,"[0, 0, 0, 1, 0, 0, 0]"
61,ComparableVersion.java,li code milestone code or code m code li,0,li code milestone code or code m code li | ComparableVersion.java,"[0, 0, 0, 1, 0, 0, 0]"
62,ComparableVersion.java,li code rc code or code cr code li,0,li code rc code or code cr code li | ComparableVersion.java,"[0, 0, 0, 1, 0, 0, 0]"
64,ComparableVersion.java,li code the empty string code or code ga code or code final code li,0,li code the empty string code or code ga code or code final code li | ComparableVersion.java,"[0, 0, 0, 1, 0, 0, 0]"
67,ComparableVersion.java,"unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,",0,"unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive , | ComparableVersion.java","[0, 0, 0, 1, 0, 0, 0]"
71,ComparableVersion.java,represents a numeric item in the version item list.,0,represents a numeric item in the version item list. | ComparableVersion.java,"[1, 0, 0, 1, 0, 0, 0]"
72,ComparableVersion.java,"represents a string in the version item list, usually a qualifier.",0,"represents a string in the version item list, usually a qualifier. | ComparableVersion.java","[1, 0, 0, 1, 0, 0, 0]"
73,ComparableVersion.java,represents a version list item.,0,represents a version list item. | ComparableVersion.java,"[1, 0, 0, 1, 0, 0, 0]"
74,ComparableVersion.java,this class is used both for the global item list and for sub lists which start,0,this class is used both for the global item list and for sub lists which start | ComparableVersion.java,"[1, 0, 0, 1, 0, 0, 0]"
75,ComparableVersion.java,with number in the version specification .,0,with number in the version specification . | ComparableVersion.java,"[1, 0, 0, 0, 0, 0, 0]"
76,ConfigurationException.java,exception to throw in case of a configuration problem.,0,exception to throw in case of a configuration problem. | ConfigurationException.java,"[1, 0, 0, 0, 0, 0, 0]"
77,CpuTimeTracker.java,utility for sampling and computing cpu usage.,0,utility for sampling and computing cpu usage. | CpuTimeTracker.java,"[1, 0, 0, 0, 0, 0, 1]"
78,DBProfile.java,user visible configs based rocksdb tuning page.,0,user visible configs based rocksdb tuning page. | DBProfile.java,"[1, 0, 0, 0, 0, 0, 0]"
79,DBProfile.java,documentation for options.,0,documentation for options. | DBProfile.java,"[0, 0, 0, 1, 1, 0, 0]"
81,DBProfile.java,https github^com facebook rocksdb blob master include rocksdb options^h,0,https github^com facebook rocksdb blob master include rocksdb options^h | DBProfile.java,"[0, 0, 0, 1, 1, 0, 0]"
83,DBProfile.java,most tuning parameters are based on this url.,0,most tuning parameters are based on this url. | DBProfile.java,"[0, 0, 0, 1, 1, 0, 0]"
85,DBProfile.java,https github^com facebook rocksdb wiki setup options and basic tuning,0,https github^com facebook rocksdb wiki setup options and basic tuning | DBProfile.java,"[0, 0, 0, 1, 1, 0, 0]"
86,DefaultAnonymizingRumenSerializer.java,default rumen json serializer.,0,default rumen json serializer. | DefaultAnonymizingRumenSerializer.java,"[1, 0, 0, 0, 0, 0, 0]"
103,DelegatingSSLSocketFactory.java,system installed openssl.,0,system installed openssl. | DelegatingSSLSocketFactory.java,"[0, 0, 0, 1, 0, 0, 0]"
117,DelegatingSSLSocketFactory.java,"however, the name",0,"however, the name | DelegatingSSLSocketFactory.java","[0, 0, 0, 0, 0, 0, 1]"
118,DelegatingSSLSocketFactory.java,was not changed in order to preserve backwards compatibility.,0,was not changed in order to preserve backwards compatibility. | DelegatingSSLSocketFactory.java,"[0, 0, 0, 1, 0, 0, 1]"
122,DelegatingSSLSocketFactory.java,implementation with no changes to the list of enabled ciphers.,0,implementation with no changes to the list of enabled ciphers. | DelegatingSSLSocketFactory.java,"[0, 0, 0, 1, 0, 0, 1]"
125,DelegationTokenIdentifier.java,a delegation token identifier that is specific to hdfs.,0,a delegation token identifier that is specific to hdfs. | DelegationTokenIdentifier.java,"[1, 0, 1, 0, 0, 0, 0]"
127,DiskBalancerCluster.java,diskbalancercluster represents the nodes that we are working against.,0,diskbalancercluster represents the nodes that we are working against. | DiskBalancerCluster.java,"[1, 0, 0, 0, 0, 0, 0]"
129,DiskBalancerCluster.java,please note,0,please note | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
130,DiskBalancerCluster.java,semantics of inclusionlist and exclusionlists.,0,semantics of inclusionlist and exclusionlists. | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
132,DiskBalancerCluster.java,if a non empty inclusionlist is specified then the diskbalancer assumes that,0,if a non empty inclusionlist is specified then the diskbalancer assumes that | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
136,DiskBalancerCluster.java,not in exclusionlist is processed.,0,not in exclusionlist is processed. | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
138,DiskBalancerCluster.java,"if inclusionlist is empty, then we assume that all live nodes in the nodes is",0,"if inclusionlist is empty, then we assume that all live nodes in the nodes is | DiskBalancerCluster.java","[0, 0, 1, 0, 0, 0, 0]"
140,DiskBalancerCluster.java,in that case diskbalancer will avoid any,0,in that case diskbalancer will avoid any | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
141,DiskBalancerCluster.java,nodes specified in the exclusionlist but will process all nodes in the,0,nodes specified in the exclusionlist but will process all nodes in the | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
142,DiskBalancerCluster.java,cluster.,0,cluster. | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
145,DiskBalancerCluster.java,only a given list is processed and exclusionlist is always honored.,0,only a given list is processed and exclusionlist is always honored. | DiskBalancerCluster.java,"[0, 0, 1, 0, 0, 0, 0]"
146,DistributedSchedulingAllocateRequest.java,"object used by the application master when distributed scheduling is enabled,",0,"object used by the application master when distributed scheduling is enabled, | DistributedSchedulingAllocateRequest.java","[1, 0, 0, 0, 0, 0, 0]"
150,EditLogTailer.java,fsnamesystem.,0,fsnamesystem. | EditLogTailer.java,"[1, 0, 0, 0, 0, 0, 0]"
151,EditLogTailer.java,the thread which does the actual work of tailing edits journals and,0,the thread which does the actual work of tailing edits journals and | EditLogTailer.java,"[0, 0, 1, 0, 0, 0, 0]"
154,EditLogTailer.java,this cannot just be the a single proxy since we could,0,this cannot just be the a single proxy since we could | EditLogTailer.java,"[0, 0, 0, 0, 0, 0, 1]"
158,EditLogTailer.java,against it.,0,against it. | EditLogTailer.java,"[0, 0, 0, 0, 0, 0, 1]"
162,EditLogTailer.java,retries before throwing up our hands.,0,retries before throwing up our hands. | EditLogTailer.java,"[0, 0, 0, 0, 0, 0, 1]"
163,EditLogTailer.java,a working proxy is retained across attempts since we,0,a working proxy is retained across attempts since we | EditLogTailer.java,"[0, 0, 0, 0, 0, 0, 1]"
170,ErasureCodingPolicyManager.java,namenode image.,0,namenode image. | ErasureCodingPolicyManager.java,"[0, 0, 1, 0, 0, 0, 0]"
171,ErasureCodingPolicyManager.java,this class is instantiated by the fsnamesystem.,0,this class is instantiated by the fsnamesystem. | ErasureCodingPolicyManager.java,"[0, 0, 0, 1, 1, 0, 0]"
172,EventWatcher.java,event watcher the re send a message after timeout.,0,event watcher the re send a message after timeout. | EventWatcher.java,"[1, 0, 0, 0, 0, 0, 0]"
173,EventWatcher.java,event watcher will send the tracked payload event after a timeout period,0,event watcher will send the tracked payload event after a timeout period | EventWatcher.java,"[0, 0, 0, 0, 0, 0, 1]"
174,EventWatcher.java,unless a confirmation from the original event completion event is arrived.,0,unless a confirmation from the original event completion event is arrived. | EventWatcher.java,"[0, 0, 0, 0, 0, 0, 1]"
175,EventWatcher.java,@param timeout payload the type of the events which are tracked.,0,@param timeout payload the type of the events which are tracked. | EventWatcher.java,"[0, 0, 0, 0, 1, 0, 0]"
178,FairOrderingPolicy.java,an orderingpolicy which orders schedulableentities for fairness see,0,an orderingpolicy which orders schedulableentities for fairness see | FairOrderingPolicy.java,"[1, 0, 0, 0, 1, 0, 0]"
179,FairOrderingPolicy.java,fairscheduler,0,fairscheduler | FairOrderingPolicy.java,"[1, 0, 0, 0, 1, 0, 0]"
180,FairOrderingPolicy.java,"fairsharepolicy , generally, processes with lesser usage are lesser.",0,"fairsharepolicy , generally, processes with lesser usage are lesser. | FairOrderingPolicy.java","[1, 0, 0, 0, 1, 0, 0]"
181,FairOrderingPolicy.java,if,0,if | FairOrderingPolicy.java,"[0, 0, 0, 1, 0, 0, 0]"
182,FairOrderingPolicy.java,sizedbasedweight is set to true then an application with high demand,0,sizedbasedweight is set to true then an application with high demand | FairOrderingPolicy.java,"[0, 0, 0, 1, 0, 0, 0]"
186,FairOrderingPolicy.java,"continuously optional, default false",0,"continuously optional, default false | FairOrderingPolicy.java","[0, 0, 0, 1, 0, 0, 0]"
189,FileSystemApplicationHistoryStore.java,file system implementation of @link applicationhistorystore .,0,file system implementation of @link applicationhistorystore . | FileSystemApplicationHistoryStore.java,"[1, 0, 0, 0, 1, 0, 0]"
194,FileSystemApplicationHistoryStore.java,"open a file, while @link #applicationfinished applicationfinishdata is",0,"open a file, while @link #applicationfinished applicationfinishdata is | FileSystemApplicationHistoryStore.java","[0, 0, 1, 0, 1, 0, 0]"
197,FsConstants.java,filesystem related constants.,0,filesystem related constants. | FsConstants.java,"[1, 0, 0, 0, 0, 0, 0]"
199,HadoopIllegalArgumentException.java,indicates that a method has been passed illegal or invalid argument.,0,indicates that a method has been passed illegal or invalid argument. | HadoopIllegalArgumentException.java,"[1, 0, 0, 0, 0, 0, 0]"
206,InconsistentS3ClientFactory.java,just by editing the hadoop configuration used to bring up the client.,0,just by editing the hadoop configuration used to bring up the client. | InconsistentS3ClientFactory.java,"[0, 0, 0, 1, 0, 0, 0]"
211,ITestListPerformance.java,test list performance.,0,test list performance. | ITestListPerformance.java,"[1, 0, 0, 0, 0, 0, 0]"
215,KerberosDelegationTokenAuthenticator.java,kerberos spnego authentication mechanism and support for hadoop delegation,0,kerberos spnego authentication mechanism and support for hadoop delegation | KerberosDelegationTokenAuthenticator.java,"[1, 0, 0, 0, 0, 0, 0]"
216,KerberosDelegationTokenAuthenticator.java,token operations.,0,token operations. | KerberosDelegationTokenAuthenticator.java,"[1, 0, 0, 0, 0, 0, 0]"
219,KerberosDelegationTokenAuthenticator.java,endpoint does not trigger a spnego authentication,0,endpoint does not trigger a spnego authentication | KerberosDelegationTokenAuthenticator.java,"[0, 0, 1, 0, 1, 0, 0]"
223,LoggedTask.java,a @link loggedtask represents a hadoop task that is part of a hadoop job.,0,a @link loggedtask represents a hadoop task that is part of a hadoop job. | LoggedTask.java,"[1, 0, 0, 0, 1, 0, 0]"
227,LoggedTask.java,want to write out in the json files.,0,want to write out in the json files. | LoggedTask.java,"[0, 0, 0, 1, 0, 0, 0]"
228,LogParserUtil.java,common utility functions for @link logparser .,0,common utility functions for @link logparser . | LogParserUtil.java,"[1, 0, 0, 0, 1, 0, 0]"
230,LRUCacheHashMap.java,lru cache with a configurable maximum cache size and access order.,0,lru cache with a configurable maximum cache size and access order. | LRUCacheHashMap.java,"[1, 0, 1, 0, 0, 0, 0]"
234,MapContext.java,@param valuein the value input type to the mapper,0,@param valuein the value input type to the mapper | MapContext.java,"[0, 0, 0, 1, 0, 0, 0]"
236,MapContext.java,@param valueout the value output type from the mapper,0,@param valueout the value output type from the mapper | MapContext.java,"[0, 0, 0, 1, 0, 0, 0]"
237,MetaBlockAlreadyExists.java,exception meta block with the same name already exists.,0,exception meta block with the same name already exists. | MetaBlockAlreadyExists.java,"[1, 0, 0, 0, 0, 0, 0]"
238,MetricsCache.java,a metrics cache for sinks that don t support sparse updates.,0,a metrics cache for sinks that don t support sparse updates. | MetricsCache.java,"[1, 0, 0, 0, 0, 0, 0]"
239,MetricsCache.java,cached record,0,cached record | MetricsCache.java,"[0, 0, 1, 0, 0, 0, 0]"
241,NativeSingleLineParser.java,this sample parser will parse the sample log and extract the resource,0,this sample parser will parse the sample log and extract the resource | NativeSingleLineParser.java,"[1, 0, 0, 0, 0, 0, 0]"
242,NativeSingleLineParser.java,skyline.,0,skyline. | NativeSingleLineParser.java,"[1, 0, 0, 0, 0, 0, 0]"
245,Nfs3Status.java,success or error status is reported in nfs3 responses.,0,success or error status is reported in nfs3 responses. | Nfs3Status.java,"[1, 0, 0, 0, 0, 0, 0]"
247,Node2ObjectsMap.java,this information is built from the dn container reports.,0,this information is built from the dn container reports. | Node2ObjectsMap.java,"[0, 0, 1, 0, 0, 0, 0]"
249,NullOutputFormat.java,consume all outputs and put them in dev null.,0,consume all outputs and put them in dev null. | NullOutputFormat.java,"[1, 0, 1, 0, 0, 0, 0]"
250,OMNodeDetails.java,this class stores om node details.,0,this class stores om node details. | OMNodeDetails.java,"[1, 0, 0, 0, 0, 0, 0]"
251,OMNodeDetails.java,builder class for omnodedetails.,0,builder class for omnodedetails. | OMNodeDetails.java,"[1, 0, 0, 0, 1, 0, 0]"
252,OpportunisticContainersStatusPBImpl.java,protocol buffer implementation of opportunisticcontainersstatus.,0,protocol buffer implementation of opportunisticcontainersstatus. | OpportunisticContainersStatusPBImpl.java,"[1, 0, 0, 0, 0, 0, 0]"
253,OzoneObj.java,class representing an unique ozone object.,0,class representing an unique ozone object. | OzoneObj.java,"[1, 0, 0, 0, 0, 0, 0]"
254,OzoneObj.java,ozone objects supported for acl.,0,ozone objects supported for acl. | OzoneObj.java,"[0, 0, 1, 0, 0, 0, 0]"
255,OzoneObj.java,ozone objects supported for acl.,0,ozone objects supported for acl. | OzoneObj.java,"[0, 0, 1, 0, 0, 0, 0]"
256,Parser.java,a class for parsing outputs,0,a class for parsing outputs | Parser.java,"[1, 0, 0, 0, 0, 0, 0]"
257,PartialOutputCommitter.java,interface for an @link org^apache.hadoop^mapreduce.outputcommitter,0,interface for an @link org^apache.hadoop^mapreduce.outputcommitter | PartialOutputCommitter.java,"[0, 0, 0, 0, 1, 0, 0]"
258,PartitionResourcesInfo.java,this class represents queue user resource usage info for a given partition,0,this class represents queue user resource usage info for a given partition | PartitionResourcesInfo.java,"[1, 0, 0, 0, 0, 0, 1]"
259,ProcessIdFileReader.java,helper functionality to read the pid from a file.,0,helper functionality to read the pid from a file. | ProcessIdFileReader.java,"[1, 0, 0, 0, 0, 0, 0]"
262,QuasiMonteCarlo.java,arbitrary integrals can be approximated numerically by qmc methods.,0,arbitrary integrals can be approximated numerically by qmc methods. | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
263,QuasiMonteCarlo.java,"in this example,",0,"in this example, | QuasiMonteCarlo.java","[0, 0, 0, 1, 1, 0, 0]"
264,QuasiMonteCarlo.java,"we use a qmc method to approximate the integral i int s f x dx ,",0,"we use a qmc method to approximate the integral i int s f x dx , | QuasiMonteCarlo.java","[0, 0, 0, 1, 1, 0, 0]"
265,QuasiMonteCarlo.java,"where s 0,1 ^2 is a unit square,",0,"where s 0,1 ^2 is a unit square, | QuasiMonteCarlo.java","[0, 0, 0, 1, 0, 0, 0]"
266,QuasiMonteCarlo.java,"x x 1,x 2 is a 2 dimensional point,",0,"x x 1,x 2 is a 2 dimensional point, | QuasiMonteCarlo.java","[0, 0, 0, 1, 0, 0, 0]"
267,QuasiMonteCarlo.java,"and f is a function describing the inscribed circle of the square s ,",0,"and f is a function describing the inscribed circle of the square s , | QuasiMonteCarlo.java","[0, 0, 0, 1, 0, 0, 0]"
268,QuasiMonteCarlo.java,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise.",0,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise. | QuasiMonteCarlo.java","[0, 0, 0, 1, 0, 0, 0]"
269,QuasiMonteCarlo.java,it is easy to see that pi is equal to 4i .,0,it is easy to see that pi is equal to 4i . | QuasiMonteCarlo.java,"[0, 0, 0, 1, 0, 0, 0]"
270,QuasiMonteCarlo.java,so an approximation of pi is obtained once i is evaluated numerically.,0,so an approximation of pi is obtained once i is evaluated numerically. | QuasiMonteCarlo.java,"[0, 0, 0, 1, 0, 0, 0]"
271,QuasiMonteCarlo.java,there are better methods for computing pi.,0,there are better methods for computing pi. | QuasiMonteCarlo.java,"[0, 0, 1, 1, 0, 0, 0]"
272,QuasiMonteCarlo.java,we emphasize numerical approximation of arbitrary integrals in this example.,0,we emphasize numerical approximation of arbitrary integrals in this example. | QuasiMonteCarlo.java,"[0, 0, 1, 1, 0, 0, 0]"
273,QuasiMonteCarlo.java,"for computing many digits of pi, consider using bbp.",0,"for computing many digits of pi, consider using bbp. | QuasiMonteCarlo.java","[0, 0, 1, 1, 0, 0, 0]"
274,QuasiMonteCarlo.java,the implementation is discussed below.,0,the implementation is discussed below. | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
275,QuasiMonteCarlo.java,mapper,0,mapper | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
276,QuasiMonteCarlo.java,generate points in a unit square,0,generate points in a unit square | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
277,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,0,and then count points inside outside of the inscribed circle of the square. | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
278,QuasiMonteCarlo.java,reducer,0,reducer | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
279,QuasiMonteCarlo.java,generate points in a unit square,0,generate points in a unit square | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
280,QuasiMonteCarlo.java,and then count points inside outside of the inscribed circle of the square.,0,and then count points inside outside of the inscribed circle of the square. | QuasiMonteCarlo.java,"[0, 0, 1, 0, 0, 0, 0]"
282,Query.java,the query is usually a partial record.,0,the query is usually a partial record. | Query.java,"[0, 0, 1, 0, 0, 0, 0]"
283,Query.java,@param t type of the record to query.,0,@param t type of the record to query. | Query.java,"[0, 0, 0, 0, 1, 0, 0]"
300,ReencryptionUpdater.java,"all the submitted futures, and statistics about how far the futures are",0,"all the submitted futures, and statistics about how far the futures are | ReencryptionUpdater.java","[1, 0, 1, 0, 0, 0, 0]"
303,ReencryptionUpdater.java,it,0,it | ReencryptionUpdater.java,"[1, 0, 0, 0, 0, 0, 0]"
305,ReencryptionUpdater.java,class that encapsulates re encryption details of a file.,0,class that encapsulates re encryption details of a file. | ReencryptionUpdater.java,"[1, 0, 0, 0, 0, 0, 0]"
306,RegistryInternalConstants.java,internal constants for the registry.,0,internal constants for the registry. | RegistryInternalConstants.java,"[1, 0, 0, 0, 0, 0, 0]"
307,RegistryInternalConstants.java,these are the things which aren t visible to users.,0,these are the things which aren t visible to users. | RegistryInternalConstants.java,"[0, 0, 0, 0, 0, 0, 1]"
311,ResourceBlacklistRequest.java,@see resourcerequest,0,@see resourcerequest | ResourceBlacklistRequest.java,"[0, 0, 0, 0, 1, 0, 0]"
320,ResourceRequestsJsonVerifications.java,"@link builder , users can also make verifications of the custom resource",0,"@link builder , users can also make verifications of the custom resource | ResourceRequestsJsonVerifications.java","[0, 0, 1, 0, 1, 0, 0]"
323,ResourceRequestsJsonVerifications.java,builder class for @link resourcerequestsjsonverifications .,0,builder class for @link resourcerequestsjsonverifications . | ResourceRequestsJsonVerifications.java,"[1, 0, 0, 0, 1, 0, 0]"
324,RMAdminRequestInterceptor.java,"defines the contract to be implemented by the request intercepter classes,",0,"defines the contract to be implemented by the request intercepter classes, | RMAdminRequestInterceptor.java","[1, 0, 0, 0, 0, 0, 0]"
327,SchedulerQueueManager.java,context of the queues in scheduler.,0,context of the queues in scheduler. | SchedulerQueueManager.java,"[1, 0, 0, 0, 0, 0, 0]"
330,ShellBasedUnixGroupsMapping.java,a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group,0,a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group | ShellBasedUnixGroupsMapping.java,"[1, 0, 0, 0, 0, 0, 0]"
331,StandardSocketFactory.java,specialized socketfactory to create sockets with a socks proxy,0,specialized socketfactory to create sockets with a socks proxy | StandardSocketFactory.java,"[1, 0, 0, 0, 0, 0, 0]"
332,StateStoreFileSystemImpl.java,@link statestoredriver implementation based on a filesystem.,0,@link statestoredriver implementation based on a filesystem. | StateStoreFileSystemImpl.java,"[1, 0, 0, 0, 1, 0, 0]"
333,StreamBaseRecordReader.java,shared functionality for hadoopstreaming formats.,0,shared functionality for hadoopstreaming formats. | StreamBaseRecordReader.java,"[1, 0, 0, 0, 0, 0, 0]"
334,StreamBaseRecordReader.java,a custom reader can be,0,a custom reader can be | StreamBaseRecordReader.java,"[0, 0, 0, 1, 0, 0, 0]"
335,StreamBaseRecordReader.java,defined to be a recordreader with the constructor below and is selected with,0,defined to be a recordreader with the constructor below and is selected with | StreamBaseRecordReader.java,"[0, 0, 0, 1, 0, 0, 0]"
336,StreamBaseRecordReader.java,the option bin hadoopstreaming inputreader .,0,the option bin hadoopstreaming inputreader . | StreamBaseRecordReader.java,"[0, 0, 0, 1, 0, 0, 0]"
338,StructureGenerator.java,this program generates a random namespace structure with the following,0,this program generates a random namespace structure with the following | StructureGenerator.java,"[1, 0, 1, 0, 0, 0, 0]"
339,StructureGenerator.java,constraints,0,constraints | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
340,StructureGenerator.java,1,0,1 | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
344,StructureGenerator.java,3,0,3 | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
345,StructureGenerator.java,files are randomly placed in the empty directories.,0,files are randomly placed in the empty directories. | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
347,StructureGenerator.java,file follows gaussian distribution.,0,file follows gaussian distribution. | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
348,StructureGenerator.java,the generated namespace structure is described by two files in the output,0,the generated namespace structure is described by two files in the output | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
349,StructureGenerator.java,directory.,0,directory. | StructureGenerator.java,"[0, 0, 1, 0, 0, 0, 0]"
352,StructureGenerator.java,the synopsis of the command is,0,the synopsis of the command is | StructureGenerator.java,"[0, 0, 0, 1, 0, 0, 0]"
356,StructureGenerator.java,maxwidth maxwidth maximum number of subdirectories per directories default is 5,0,maxwidth maxwidth maximum number of subdirectories per directories default is 5 | StructureGenerator.java,"[0, 0, 0, 1, 0, 0, 0]"
357,StructureGenerator.java,numoffiles #offiles the total number of files default is 10.,0,numoffiles #offiles the total number of files default is 10. | StructureGenerator.java,"[0, 0, 0, 1, 0, 0, 0]"
358,StructureGenerator.java,avgfilesize avgfilesizeinblocks average size of blocks default is 1.,0,avgfilesize avgfilesizeinblocks average size of blocks default is 1. | StructureGenerator.java,"[0, 0, 1, 1, 0, 0, 0]"
359,StructureGenerator.java,outdir outdir output directory default is the current directory.,0,outdir outdir output directory default is the current directory. | StructureGenerator.java,"[0, 0, 1, 1, 0, 0, 0]"
360,StructureGenerator.java,seed seed random number generator seed default is the current time.,0,seed seed random number generator seed default is the current time. | StructureGenerator.java,"[0, 0, 0, 1, 0, 0, 0]"
362,SwiftBadRequestException.java,thrown to indicate that data locality can t be calculated or requested path is incorrect.,0,thrown to indicate that data locality can t be calculated or requested path is incorrect. | SwiftBadRequestException.java,"[1, 0, 0, 0, 0, 0, 0]"
