index,comment_sentence,labels,drop_reason
9251, * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9270,      // success,[1 0 0 0 0 0 0],Token Count (1)
9271,      // success,[1 0 0 0 0 0 0],Token Count (1)
9323,"/**
 * Represents expansions of the Q_ENUMS macro within a class declaration.
 * <pre>
 * class B : public QObject
 * {
 * Q_OBJECT
 * enum E { enumerator };
 * Q_ENUMS( E )
 * };
 *
 * class Q : public QObject
 * {
 * Q_OBJECT
 * Q_ENUMS( B::E E0 )
 * Q_ENUMS( E1 )
 * enum E0 { e0a, e0b = 2 };
 * enum E1 { e1 };
 * }
 * </pre>
 * NOTE: http://qt-project.org/doc/qt-4.8/qobject.html#Q_ENUMS
 * <blockquote>
 * If you want to register an enum that is declared in another class, the enum must be fully qualified
 * with the name of the class defining it. In addition, the class defining the enum has to inherit
 * QObject as well as declare the enum using Q_ENUMS().
 * </blockquote>
 * So, the lookup for the C++ enum only needs to look in the same class spec when the name is not
 * qualified.  When it is qualified, then it needs to find the QObject and then look at its Q_ENUMS.
 */",[0 0 1 0 0 0 0],Too Huge (>800 chars)
9349, * @since 1.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9377,@code T,[0 0 0 0 1 0 0],Too Tiny (<6 alpha)
9417,@since 5.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9508,// Operation,[1 0 0 0 0 0 0],Token Count (1)
9532,            // ConcurrentModificationException,[1 0 0 0 0 0 0],Token Count (1)
9551, * @since 7.4,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9558, * @since 5.2,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9577,        // File,[1 0 0 0 0 0 0],Too Tiny (<6 alpha)
9629,     * @return,[0 0 0 1 0 0 0],Token Count (1)
9643,        // UidlValue,[1 0 0 0 0 0 0],Token Count (1)
9644,        // Collections,[1 0 0 0 0 0 0],Token Count (1)
9677,	/** Constructor. */,[1 0 0 0 0 0 0],Token Count (1)
9733,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9735,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9740,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9742,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9745,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9751,   * @return,[0 0 0 1 0 0 0],Token Count (1)
9807, * @since 10.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9814,	 * @since 5.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9815,	 * @since 5.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9901,TaskState,[1 0 0 0 0 0 0],Token Count (1)
9902,TaskAttemptState,[1 0 0 0 0 0 0],Token Count (1)
9903,TaskAttemptCompletionEventStatus,[1 0 0 0 0 0 0],Token Count (1)
9905,JobState,[1 0 0 0 0 0 0],Token Count (1)
9931, * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
9947,     * {@inheritDoc},[0 0 0 0 1 0 0],Token Count (1)
9961,Scrolling,[1 0 0 0 0 0 0],Token Count (1)
9964,        // Actions,[1 0 0 0 0 0 0],Token Count (1)
9979,"/**
 * A metrics sink that writes metrics to a StatsD daemon.
 * This sink will produce metrics of the form
 * '[hostname].servicename.context.name.metricname:value|type'
 * where hostname is optional. This is useful when sending to
 * a daemon that is running on the localhost and will add the
 * hostname to the metric (such as the
 * <a href=""https://collectd.org/"">CollectD</a> StatsD plugin).
 * <br/>
 * To configure this plugin, you will need to add the following
 * entries to your hadoop-metrics2.properties file:
 * <br/>
 * <pre>
 * *.sink.statsd.class=org.apache.hadoop.metrics2.sink.StatsDSink
 * [prefix].sink.statsd.server.host=
 * [prefix].sink.statsd.server.port=
 * [prefix].sink.statsd.skip.hostname=true|false (optional)
 * [prefix].sink.statsd.service.name=NameNode (name you want for service)
 * </pre>
 */",[0 0 1 0 0 0 0],Too Huge (>800 chars)
10024, * @since 4.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10122, * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10140,	 * @since 7.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10154,	 * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10156,	 * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10185,     * @since 3.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10202, * MakefileStorageDocumentProvider,[1 0 0 0 0 0 0],Token Count (1)
10205, * @since 7.0.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10207, * @since 7.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10234, * @since 7.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10289, * @since 9.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10292,   * @since 9.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10386,     * @since 1.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10388,    /** @since 4.0 */,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10389,     * @return,[0 0 0 1 0 0 0],Token Count (1)
10391,     * @since 4.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10394,     * @return,[0 0 0 1 0 0 0],Token Count (1)
10418,// ConfigurationDescription,[1 0 0 0 0 0 0],Token Count (1)
10429,// NavigableSet,[1 0 0 0 0 0 0],Token Count (1)
10431, // serialization,[1 0 0 0 0 0 0],Token Count (1)
10432,// serialization,[1 0 0 0 0 0 0],Token Count (1)
10445, * @since 5.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10490, * @since 7.4,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10502, * @since 7.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10523, * @since 1.0,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10525,     * @since 2.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10526,     * @since 2.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10548,    // other,[1 0 0 0 0 0 0],Too Tiny (<6 alpha)
10550,    // mask,[1 0 0 0 0 0 0],Too Tiny (<6 alpha)
10552,    // group,[1 0 0 0 0 0 0],Too Tiny (<6 alpha)
10610,            // cleanup,[1 0 0 0 0 0 0],Token Count (1)
10612,            // cleanup,[1 0 0 0 0 0 0],Token Count (1)
10615,"  * Listener interface for the various types of JSR-286 portlet requests. The
     * listener methods are called by the request handler
     * {@link PortletListenerNotifier} after the session is locked and the
     * corresponding UI has been found (if already created) but before other
     * request processing takes place.
     * 
     * Direct rendering of output is not possible in a portlet listener and the
     * JSR-286 limitations on allowed operations in each phase or portlet
     * request processing must be respected by the listeners.
     * 
     * Note that internal action requests used by the framework to trigger
     * events or set shared parameters do not call the action request listener
     * but will result in a later event or render request that will trigger the
     * corresponding listener.
     */",[0 0 1 0 0 0 0],Too Huge (>800 chars)
10620, * @since 5.1,[0 0 0 1 0 0 0],Too Tiny (<6 alpha)
10644," /**
   * The corrupt block has to be removed when the number of valid replicas
   * matches replication factor for the file. The above condition should hold
   * true as long as there is one good replica. This test verifies that.
   * 
   * The test strategy : 
   *   Bring up Cluster with 2 DataNodes
   *   Create a file of replication factor 2 
   *   Corrupt one replica of a block of the file 
   *   Verify that there is  one good replicas and 1 corrupt replica 
   *     (corrupt replica should not be removed since number of good 
   *     replicas (1) is less than replication factor (2)).
   *   Set the replication factor to 1 
   *   Verify that the corrupt replica is removed. 
   *     (corrupt replica should  be removed since number of good
   *      replicas (1) is equal to replication factor (1))
   */",[0 0 1 0 0 0 0],Too Huge (>800 chars)
158,against it.,[0 0 0 0 0 0 1],Semantic Conflict
668,@see cprojectdescriptionevent,[0 0 0 1 1 0 0],Semantic Conflict
1196,this is,[0 0 0 1 0 0 0],Semantic Conflict
1199,this is,[0 0 0 1 0 0 0],Semantic Conflict
4177,@code flush,[0 0 0 1 0 0 0],Semantic Conflict
5165,"This class is meant to be empty.  It enables us to define
 * the annotations which list all the different JUnit class we
 * want to run.  When creating a new test class, it should be
 * added to the list below.",[1 0 0 0 0 0 0],Semantic Conflict
5167,	/* Add your test class here */,[0 0 0 1 0 0 0],Semantic Conflict
7267,   * Only used for unit tests.,[1 0 0 0 0 0 0],Semantic Conflict
7271,   * Only used for unit tests.,[0 0 0 1 0 0 0],Semantic Conflict
7463,@author Gregory Kick,[0 0 0 0 1 0 0],Semantic Conflict
7748,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7749,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7750,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7751,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7752,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7753,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7754,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7755,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7756,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7757, //$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7758,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
7759,//$NON-NLS-1$,[0 0 0 0 1 0 0],Semantic Conflict
9338,@code flush,[0 0 0 0 1 0 0],Semantic Conflict
9842,	 * @see CProjectDescriptionEvent#ALL,[0 0 0 0 1 0 0],Semantic Conflict
10019,"Contributors:
 *     Intel Corporation - initial API and implementation",[0 0 0 0 1 0 0],Semantic Conflict
10142,//$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10143,//$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10145, //$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10146, //$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10147,//$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10149, //$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10150,//$NON-NLS-1$,[0 0 0 0 0 1 0],Semantic Conflict
10411,"Contributors:
 *     Intel Corporation - initial API and implementation",[0 1 0 0 0 0 0],Semantic Conflict
10423, * @author Gregory Kick,[0 1 0 0 0 0 0],Semantic Conflict
10561,"* This class is meant to be empty.  It enables us to define
 * the annotations which list all the different JUnit class we
 * want to run.  When creating a new test class, it should be
 * added to the list below.",[0 0 1 0 0 0 0],Semantic Conflict
10564,	/* Add your test class here */,[1 0 0 0 0 0 0],Semantic Conflict
255,ozone objects supported for acl.,[0 0 1 0 0 0 0],Exact Duplicate
279,generate points in a unit square,[0 0 1 0 0 0 0],Exact Duplicate
280,and then count points inside outside of the inscribed circle of the square.,[0 0 1 0 0 0 0],Exact Duplicate
370,get the current operation statistics.,[0 0 0 0 1 0 0],Exact Duplicate
371,@return a snapshot of the statistics,[0 0 0 0 1 0 0],Exact Duplicate
373,@return a snapshot of the statistics,[0 0 0 0 1 0 0],Exact Duplicate
376,get the current operation statistics.,[0 0 0 0 1 0 0],Exact Duplicate
377,@return a snapshot of the statistics,[0 0 0 0 1 0 0],Exact Duplicate
379,get the current operation statistics.,[0 0 0 0 1 0 0],Exact Duplicate
380,@return a snapshot of the statistics,[0 0 0 0 1 0 0],Exact Duplicate
474,in response.,[0 0 1 0 1 0 0],Exact Duplicate
475,this is represented as a @link timelinefilterlist object,[0 0 0 0 1 0 0],Exact Duplicate
476,containing @link timelineprefixfilter objects.,[0 0 0 0 1 0 0],Exact Duplicate
477,these can either be,[0 0 1 0 1 0 0],Exact Duplicate
492,be retrieved.,[0 0 1 0 1 0 0],Exact Duplicate
758,imanagedbuildermakefilegenerator m e t h o d s,[0 0 0 1 0 0 0],Exact Duplicate
760,m a i n makefile m a k e f i l e m e t h o d s,[0 0 0 1 0 0 0],Exact Duplicate
768,r e s o u r c e v i s i t o r m e t h o d s,[0 0 0 1 0 0 0],Exact Duplicate
771,windows drive letters and whitespace appropriately.,[0 0 0 1 0 0 0],Exact Duplicate
773,the context these paths appear in is on the right hand side of a rule header.,[0 0 0 1 0 0 0],Exact Duplicate
816,gdb specific part,[0 0 1 0 0 0 0],Exact Duplicate
819,gdb specific part,[0 0 1 0 0 0 0],Exact Duplicate
821,gdb specific part,[0 0 1 0 0 0 0],Exact Duplicate
970,in path passed to gcc,[0 0 0 1 0 0 0],Exact Duplicate
1003,@author mike kucera,[0 1 0 0 0 0 0],Exact Duplicate
1005,@author mike kucera,[0 1 0 0 0 0 0],Exact Duplicate
1102,@author kevin bourrillion,[0 1 0 0 0 0 0],Exact Duplicate
1200,normally @code object unless it is constrained by using a method like @code,[0 0 0 1 0 0 0],Exact Duplicate
1202,@author charles fry,[0 1 0 0 0 0 0],Exact Duplicate
1203,@author kevin bourrillion,[0 1 0 0 0 0 0],Exact Duplicate
1207,@author charles fry,[0 1 0 0 0 0 0],Exact Duplicate
1220,@author kevin bourrillion,[0 1 0 0 0 0 0],Exact Duplicate
1329,@author chris povirk,[0 1 0 0 0 0 0],Exact Duplicate
1377,@author chris povirk,[0 1 0 0 0 0 0],Exact Duplicate
1471,@author kevin bourrillion,[0 1 0 0 0 0 0],Exact Duplicate
1652,"how is the ratelimiter designed, and why?",[0 0 0 1 0 0 0],Exact Duplicate
1657,wait as much.,[1 0 0 0 0 0 0],Exact Duplicate
1663,if a request comes and the last request was,[0 0 1 1 0 0 0],Exact Duplicate
1667,it is important to realize that such a ratelimiter has a very superficial memory of the past,[0 0 1 1 0 0 1],Exact Duplicate
1669,what if the ratelimiter was unused for a long period of,[0 0 1 1 0 0 1],Exact Duplicate
1671,this ratelimiter would immediately,[0 0 1 0 0 0 1],Exact Duplicate
1674,"overflow, depending on the real world consequences of not using the expected rate.",[0 0 1 1 0 0 1],Exact Duplicate
1682,"the request has become less ready for future requests , ie its caches become stale, and",[0 0 1 1 0 0 0],Exact Duplicate
1684,"example is when a server has just booted, and it is mostly busy with getting itself up to",[0 0 1 0 0 0 0],Exact Duplicate
1686,"to deal with such scenarios, we add an extra dimension, that of past underutilization ,",[0 0 1 0 0 0 0],Exact Duplicate
1688,"this variable is zero when there is no underutilization,",[0 0 1 1 0 0 0],Exact Duplicate
1698,"for 10 seconds ie, we expected a request at time x, but we are at time x 10 seconds before",[0 0 0 1 0 0 0],Exact Duplicate
1703,"we serve this request out of storedpermits, and reduce that to 70 how",[0 0 0 1 0 0 0],Exact Duplicate
1704,this is translated to throttling time is discussed later .,[0 0 0 1 0 0 0],Exact Duplicate
1705,"immediately after, assume that an",[0 0 0 1 0 0 0],Exact Duplicate
1707,"we serve the request partly from storedpermits, using all the",[0 0 0 1 0 0 0],Exact Duplicate
1708,"remaining 70 permits, and the remaining 30, we serve them by fresh permits produced by the",[0 0 0 1 0 0 0],Exact Duplicate
1711,"1 token per second , then this will take 3 seconds.",[0 0 0 1 0 0 0],Exact Duplicate
1712,but what does it mean to serve 7 stored,[0 0 0 1 0 0 0],Exact Duplicate
1714,"as explained above, there is no unique answer.",[0 0 0 1 0 0 0],Exact Duplicate
1715,if we are primarily interested to deal,[0 0 0 1 0 0 0],Exact Duplicate
1716,"with underutilization, then we want stored permits to be given out faster than fresh ones,",[0 0 0 1 0 0 0],Exact Duplicate
1717,because underutilization free resources for the taking.,[0 0 0 1 0 0 0],Exact Duplicate
1718,if we are primarily interested to,[0 0 0 1 0 0 0],Exact Duplicate
1719,"deal with overflow, then stored permits could be given out slower than fresh ones.",[0 0 0 1 0 0 0],Exact Duplicate
1720,"thus, we",[0 0 0 1 0 0 0],Exact Duplicate
1721,require a different in each case function that translates storedpermits to throttling time.,[0 0 0 1 0 0 0],Exact Duplicate
1727,essentially measure unused time we spend unused time buying storing permits.,[0 0 0 1 0 0 0],Exact Duplicate
1729,"permits time , thus 1 rate time permits .",[0 0 0 1 0 0 0],Exact Duplicate
1731,of requested permits.,[0 0 0 1 0 0 0],Exact Duplicate
1734,cost as fresh ones 1 qps is the cost for each .,[0 0 0 1 0 0 0],Exact Duplicate
1736,"last, but not least consider a ratelimiter with rate of 1 permit per second, currently",[0 0 0 1 0 0 0],Exact Duplicate
1737,"completely unused, and an expensive acquire 100 request comes.",[0 0 0 1 0 0 0],Exact Duplicate
1741,"instead , and postpone subsequent requests as needed.",[0 0 0 1 0 0 0],Exact Duplicate
1742,"task immediately, and postpone by 100 seconds future requests, thus we allow for work to get",[0 0 0 1 0 0 0],Exact Duplicate
1745,this also enables,[0 0 0 1 0 0 0],Exact Duplicate
1746,us to tell immediately see tryacquire timeout whether a particular timeout is enough to get,[0 0 0 1 0 0 0],Exact Duplicate
1747,"us to the point of the next scheduling time, since we always maintain that.",[0 0 0 1 0 0 0],Exact Duplicate
1748,and what we mean by,[0 0 0 1 0 0 0],Exact Duplicate
1750,"expected arrival time of the next request is actually in the past, then the difference now",[0 0 0 1 0 0 0],Exact Duplicate
1751,"past is the amount of time that the ratelimiter was formally unused, and it is that amount of",[0 0 0 1 0 0 0],Exact Duplicate
1752,time which we translate to storedpermits.,[0 0 0 1 0 0 0],Exact Duplicate
1754,that would have been produced in that idle time .,[0 0 0 1 0 0 0],Exact Duplicate
1758,we would only increase it for arrivals later than the expected one second.,[0 0 0 1 0 0 0],Exact Duplicate
1759,the time when the next request no matter its size will be granted.,[0 0 0 1 0 0 0],Exact Duplicate
1760,"after granting a request,",[0 0 0 1 0 0 0],Exact Duplicate
1779,@author kevin bourrillion,[0 1 0 0 0 0 0],Exact Duplicate
1861,"or, alternatively",[0 0 0 1 0 0 0],Exact Duplicate
2069,methods inherited from abstractcomponentcontainer.,[0 0 1 0 0 0 1],Exact Duplicate
2070,these are unnecessary,[0 0 1 0 0 0 1],Exact Duplicate
2071,but mandatory .,[0 0 1 0 0 0 1],Exact Duplicate
2072,most of them are not supported in this implementation.,[0 0 1 0 0 0 1],Exact Duplicate
2079,methods inherited from abstractcomponentcontainer.,[0 0 1 0 0 0 1],Exact Duplicate
2080,these are unnecessary,[0 0 1 0 0 0 1],Exact Duplicate
2081,but mandatory .,[0 0 1 0 0 0 1],Exact Duplicate
2082,most of them are not supported in this implementation.,[0 0 1 0 0 0 1],Exact Duplicate
2382,reordering disabled and clicking on it resets sorting.,[0 0 1 0 0 0 0],Exact Duplicate
3451,    /** For internal use only. May be removed or replaced in the future. */,[0 0 0 0 0 0 1],Exact Duplicate
3452,    /** For internal use only. May be removed or replaced in the future. */,[0 0 0 0 0 0 1],Exact Duplicate
3456,    /** For internal use only. May be removed or replaced in the future. */,[0 0 0 0 0 0 1],Exact Duplicate
4078,@param rm,[0 0 0 1 0 0 0],Exact Duplicate
4091,@param viewer the text viewer,[0 0 0 1 0 0 0],Exact Duplicate
4174,@code PrimitiveSink,[0 0 0 1 0 0 0],Exact Duplicate
4182,@code CharSequence,[0 0 0 1 0 0 0],Exact Duplicate
4340,	 * Not allowed on frozen ast.,[1 0 0 0 0 0 0],Exact Duplicate
4341,	 * Not allowed on frozen ast.,[1 0 0 0 0 0 0],Exact Duplicate
4342,	 * Not allowed on frozen ast.,[1 0 0 0 0 0 0],Exact Duplicate
4343,	 * Not allowed on frozen ast.,[1 0 0 0 0 0 0],Exact Duplicate
4401,    // for a variety of lengths,[1 0 0 0 0 0 0],Exact Duplicate
4402,      // create a file with length entries,[1 0 0 0 0 0 0],Exact Duplicate
4403,      // try splitting the file in a variety of sizes,[1 0 0 0 0 0 0],Exact Duplicate
4404,        // check each split,[1 0 0 0 0 0 0],Exact Duplicate
4728,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4731,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4734,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4739,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4741,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4755,   * @param message message to include in the assertion failure message,[0 0 0 1 0 0 0],Exact Duplicate
4756,   * @param path path in the filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4757,   * @param fs filesystem,[0 0 0 1 0 0 0],Exact Duplicate
4796, * @noextend This interface is not intended to be extended by clients.,[0 0 0 1 0 0 0],Exact Duplicate
4797, * @noimplement This interface is not intended to be implemented by clients.,[0 0 0 1 0 0 0],Exact Duplicate
4806,@link #build,[0 0 0 0 1 0 0],Exact Duplicate
4810,@link #build,[0 0 0 0 1 0 0],Exact Duplicate
4817,@code ImmutableBiMap,[0 0 0 0 1 0 0],Exact Duplicate
4840,"Returns an immutable map containing the given entries, in order.",[1 0 0 0 0 0 0],Exact Duplicate
4841,"Returns an immutable map containing the given entries, in order.",[1 0 0 0 0 0 0],Exact Duplicate
4930,@link #snapshottables,[0 0 0 0 1 0 0],Exact Duplicate
4931,@link #snapshottables,[0 0 0 0 1 0 0],Exact Duplicate
5005,Note: you must hold the cache lock to call this function.,[0 0 0 1 0 0 0],Exact Duplicate
5036,@link com.google.inject.Binder,[0 0 0 0 1 0 0],Exact Duplicate
5037,@link com.google.inject.Binder,[0 0 0 0 1 0 0],Exact Duplicate
5039,@link com.google.inject.Binder,[0 0 0 0 1 0 0],Exact Duplicate
5040,@author crazybob@google.com (Bob Lee),[0 1 0 0 0 0 0],Exact Duplicate
5050,@link RequestInterceptor,[0 0 0 0 1 0 0],Exact Duplicate
5051,@link RequestInterceptor,[0 0 0 0 1 0 0],Exact Duplicate
5094,"// ok, expected.",[1 0 0 0 0 0 0],Exact Duplicate
5098,"      // ok, expected.",[1 0 0 0 0 0 0],Exact Duplicate
5102,"      // ok, expected.",[1 0 0 0 0 0 0],Exact Duplicate
5108,"      // ok, expected.",[1 0 0 0 0 0 0],Exact Duplicate
5121,"// Init 2nd har file system on the same underlying FS, so the
    // metadata gets reused:",[1 0 0 0 0 0 0],Exact Duplicate
5141,// No headers read or written,[1 0 0 0 0 0 0],Exact Duplicate
5209, * @noextend This interface is not intended to be extended by clients.,[0 0 0 1 0 0 0],Exact Duplicate
5210, * @noimplement This interface is not intended to be implemented by clients.,[0 0 0 1 0 0 0],Exact Duplicate
5231,		 * Clears the error message from the message line if the error message is the error message from this field editor.,[1 0 0 0 0 0 0],Exact Duplicate
5294," split a UTF-8 byte array into key and value 
   * assuming that the delimilator is at splitpos.",[1 0 0 0 0 0 0],Exact Duplicate
5306,   * @param splitPos the split pos,[0 0 0 1 0 0 0],Exact Duplicate
5308,   * @param key contains key upon the method is returned,[0 0 0 1 0 0 0],Exact Duplicate
5310,   * @param splitPos the split pos,[0 0 0 1 0 0 0],Exact Duplicate
5315,   * @param utf utf-8 encoded string,[0 0 0 1 0 0 0],Exact Duplicate
5317,   * @param splitPos the split pos,[0 0 0 1 0 0 0],Exact Duplicate
5318,   * @param val contains value upon the method is returned,[0 0 0 1 0 0 0],Exact Duplicate
5319,   * @param key contains key upon the method is returned,[0 0 0 1 0 0 0],Exact Duplicate
5322,   * @param utf utf-8 encoded string,[0 0 0 1 0 0 0],Exact Duplicate
5325,   * @param utf a byte array containing a UTF-8 encoded string,[0 0 0 1 0 0 0],Exact Duplicate
5326,   * @param start starting offset,[0 0 0 1 0 0 0],Exact Duplicate
5339,"@return <code>true</code> iff the selection state was changed by this
     *         call",[0 0 0 1 0 0 0],Exact Duplicate
5344,@link com.vaadin.client.data.DataSource.RowHandle RowHandle,[0 0 0 0 1 0 0],Exact Duplicate
5364, * @noimplement This interface is not intended to be implemented by clients.,[0 0 0 1 0 0 0],Exact Duplicate
5433,@link CacheLoader,[0 0 0 0 1 0 0],Exact Duplicate
5437,@link CacheLoader,[0 0 0 0 1 0 0],Exact Duplicate
5439,@link CacheLoader,[0 0 0 0 1 0 0],Exact Duplicate
5442,@link CacheLoader,[0 0 0 0 1 0 0],Exact Duplicate
5446,@code new Object(),[0 0 0 0 1 0 0],Exact Duplicate
5521,	 * @return					the AST or <code>null</code> if the AST is not available,[0 0 0 1 0 0 0],Exact Duplicate
5529,	 * @param tUnit  the translation unit,[0 0 0 1 0 0 0],Exact Duplicate
5530,	 * @param tUnit  the translation unit,[0 0 0 1 0 0 0],Exact Duplicate
5534,	 * @param tUnit  the translation unit,[0 0 0 1 0 0 0],Exact Duplicate
5535,	 * @param tUnit  the translation unit,[0 0 0 1 0 0 0],Exact Duplicate
5537,	 * @param tUnit  the translation unit,[0 0 0 1 0 0 0],Exact Duplicate
5540,	 * @return a string used for debugging,[0 0 0 1 0 0 0],Exact Duplicate
5588,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5591,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5594,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5597,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5601,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5603,   * @return the variable.,[0 0 0 1 0 0 0],Exact Duplicate
5604,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5607,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5609,   * @return the variable.,[0 0 0 1 0 0 0],Exact Duplicate
5610,   * @param name the name to use in the exception message.,[0 0 0 1 0 0 0],Exact Duplicate
5644,@param listener a property change listener,[0 0 0 1 0 0 0],Exact Duplicate
5716,    // Operation types,[1 0 0 0 0 0 0],Exact Duplicate
5721,    // Operation types,[1 0 0 0 0 0 0],Exact Duplicate
5737,Operation types,[1 0 0 0 0 0 0],Exact Duplicate
5756,// parse command line,[1 0 0 0 0 0 0],Exact Duplicate
5784,"// We do not need many handlers, since each thread simulates a handler
    // by calling name-node methods directly",[1 0 0 0 0 0 0],Exact Duplicate
5785,    // Turn off minimum block size verification,[1 0 0 0 0 0 0],Exact Duplicate
5788,"Base class for collecting operation statistics.
   * 
   * Overload this class in order to run statistics for a 
   * specific name-node operation.",[1 0 0 0 0 0 0],Exact Duplicate
5789, // number of threads,[1 0 0 0 0 0 0],Exact Duplicate
5790,// number of operations requested,[1 0 0 0 0 0 0],Exact Duplicate
5791, // number of operations executed,[1 0 0 0 0 0 0],Exact Duplicate
5794,// don't clean base directory on exit,[1 0 0 0 0 0 0],Exact Duplicate
5795,"// logging level, ERROR by default",[1 0 0 0 0 0 0],Exact Duplicate
5796, // user group cache refresh count,[1 0 0 0 0 0 0],Exact Duplicate
5797,     * Operation name.,[1 0 0 0 0 0 0],Exact Duplicate
5798,     * Parse command line arguments.,[1 0 0 0 0 0 0],Exact Duplicate
5799,     * Generate inputs for each daemon thread.,[1 0 0 0 0 0 0],Exact Duplicate
5800,"This corresponds to the arg1 argument of 
     * {@link #executeOp(int, int, String)}, which can have different meanings
     * depending on the operation performed.",[1 0 0 0 0 0 0],Exact Duplicate
5801,     * Execute name-node operation.,[1 0 0 0 0 0 0],Exact Duplicate
5803,// thread index < nrThreads,[1 0 0 0 0 0 0],Exact Duplicate
5804,          // execute  in a separate thread,[1 0 0 0 0 0 0],Exact Duplicate
5806,          // try {Thread.sleep(500);} catch (InterruptedException e) {},[1 0 0 0 0 0 0],Exact Duplicate
5808,     * @param opsPerThread number of inputs for each thread.,[0 0 0 1 0 0 0],Exact Duplicate
5814,     * @return the argument,[0 0 0 1 0 0 0],Exact Duplicate
5815,"@link #executeOp(int, int, String)",[0 0 0 0 1 0 0],Exact Duplicate
5816,"     * Parse first 2 arguments, corresponding to the ""-op"" option.",[1 0 0 0 0 0 0],Exact Duplicate
5819,      // process common options,[1 0 0 0 0 0 0],Exact Duplicate
5822,     * Schedule to stop this daemon.,[1 0 0 0 0 0 0],Exact Duplicate
