index,labels,comment_length,word_count,comment_clean
103,[0 0 0 1 0 0 0],25,3,system installed openssl
117,[0 0 0 0 0 0 1],17,3,however name
118,[0 0 0 1 0 0 1],61,9,changed order preserve backwards compatibility
122,[0 0 0 1 0 0 1],62,10,implementation change list enabled cipher
125,[1 0 1 0 0 0 0],55,9,delegation token identifier specific hdfs
127,[1 0 0 0 0 0 0],69,9,diskbalancercluster represents node working
129,[0 0 1 0 0 0 0],11,2,please note
130,[0 0 1 0 0 0 0],46,5,semantics inclusionlist exclusionlists
132,[0 0 1 0 0 0 0],76,12,non empty inclusionlist specified diskbalancer assumes
136,[0 0 1 0 0 0 0],34,5,exclusionlist processed
138,[0 0 1 0 0 0 0],77,15,inclusionlist empty assume live node node
140,[0 0 1 0 0 0 0],40,7,case diskbalancer avoid
141,[0 0 1 0 0 0 0],70,12,node specified exclusionlist process node
142,[0 0 1 0 0 0 0],8,1,cluster
145,[0 0 1 0 0 0 0],67,11,given list processed exclusionlist always honored
146,[1 0 0 0 0 0 0],77,11,object used application master distributed scheduling enabled
150,[1 0 0 0 0 0 0],13,1,fsnamesystem
151,[0 0 1 0 0 0 0],67,12,thread actual work tailing edits journal
154,[0 0 0 0 0 0 1],53,11,cannot single proxy since could
158,[0 0 0 0 0 0 1],11,2,
162,[0 0 0 0 0 0 1],37,6,retries throwing hand
163,[0 0 0 0 0 0 1],52,9,working proxy retained across attempt since
170,[0 0 1 0 0 0 0],15,2,namenode image
171,[0 0 0 1 1 0 0],47,7,class instantiated fsnamesystem
172,[1 0 0 0 0 0 0],50,9,event watcher send message timeout
173,[0 0 0 0 0 0 1],72,12,event watcher send tracked payload event timeout period
174,[0 0 0 0 0 0 1],74,11,unless confirmation original event completion event arrived
175,[0 0 0 0 1 0 0],64,11,param timeout payload type event tracked
178,[1 0 0 0 1 0 0],67,8,orderingpolicy order schedulableentities fairness see
179,[1 0 0 0 1 0 0],13,1,fairscheduler
180,[1 0 0 0 1 0 0],68,9,fairsharepolicy generally process lesser usage lesser
181,[0 0 0 1 0 0 0],2,1,
182,[0 0 0 1 0 0 0],68,11,sizedbasedweight set true application high demand
186,[0 0 0 1 0 0 0],36,4,continuously optional default false
189,[1 0 0 0 1 0 0],61,7,file system implementation link applicationhistorystore
194,[0 0 1 0 1 0 0],70,8,open file link applicationfinished applicationfinishdata
197,[1 0 0 0 0 0 0],29,3,filesystem related constant
199,[1 0 0 0 0 0 0],68,11,indicates method passed illegal invalid argument
206,[0 0 0 1 0 0 0],69,12,editing hadoop configuration used bring client
211,[1 0 0 0 0 0 0],22,3,test list performance
215,[1 0 0 0 0 0 0],74,9,kerberos spnego authentication mechanism support hadoop delegation
216,[1 0 0 0 0 0 0],17,2,token operation
219,[0 0 1 0 1 0 0],49,7,endpoint trigger spnego authentication
223,[1 0 0 0 1 0 0],73,14,link loggedtask represents hadoop task part hadoop job
227,[0 0 0 1 0 0 0],36,8,want write json file
228,[1 0 0 0 1 0 0],46,7,common utility function link logparser
230,[1 0 1 0 0 0 0],66,11,lru cache configurable maximum cache size access order
234,[0 0 0 1 0 0 0],49,9,param valuein value input type mapper
236,[0 0 0 1 0 0 0],53,9,param valueout value output type mapper
237,[1 0 0 0 0 0 0],55,9,exception meta block name already exists
238,[1 0 0 0 0 0 0],60,11,metric cache sink support sparse update
239,[0 0 1 0 0 0 0],13,2,cached record
241,[1 0 0 0 0 0 0],69,12,sample parser parse sample log extract resource
242,[1 0 0 0 0 0 0],8,1,skyline
245,[1 0 0 0 0 0 0],54,9,success error status reported nfs response
247,[0 0 1 0 0 0 0],56,9,information built dn container report
249,[1 0 1 0 0 0 0],45,9,consume output put dev null
250,[1 0 0 0 0 0 0],34,6,class store om node detail
251,[1 0 0 0 1 0 0],32,4,builder class omnodedetails
252,[1 0 0 0 0 0 0],64,5,protocol buffer implementation opportunisticcontainersstatus
253,[1 0 0 0 0 0 0],42,6,class representing unique ozone object
254,[0 0 1 0 0 0 0],32,5,ozone object supported acl
255,[0 0 1 0 0 0 0],32,5,ozone object supported acl
256,[1 0 0 0 0 0 0],27,5,class parsing output
257,[0 0 0 0 1 0 0],66,5,interface link orgapachehadoopmapreduceoutputcommitter
258,[1 0 0 0 0 0 1],74,12,class represents queue user resource usage info given partition
259,[1 0 0 0 0 0 0],49,9,helper functionality read pid file
262,[0 0 1 0 0 0 0],67,9,arbitrary integral approximated numerically qmc method
263,[0 0 0 1 1 0 0],16,3,example
264,[0 0 0 1 1 0 0],64,16,use qmc method approximate integral int f x dx
265,[0 0 0 1 0 0 0],32,8,unit square
266,[0 0 0 1 0 0 0],35,9,x x x dimensional point
267,[0 0 0 1 0 0 0],69,14,f function describing inscribed circle square
268,[0 0 0 1 0 0 0],57,20,f x x x lt f x otherwise
269,[0 0 0 1 0 0 0],42,12,easy see pi equal
270,[0 0 0 1 0 0 0],70,12,approximation pi obtained evaluated numerically
271,[0 0 1 1 0 0 0],42,7,better method computing pi
272,[0 0 1 1 0 0 0],76,10,emphasize numerical approximation arbitrary integral example
273,[0 0 1 1 0 0 0],52,9,computing many digit pi consider using bbp
274,[0 0 1 0 0 0 0],38,5,implementation discussed
275,[0 0 1 0 0 0 0],6,1,mapper
276,[0 0 1 0 0 0 0],32,6,generate point unit square
277,[0 0 1 0 0 0 0],75,13,count point inside outside inscribed circle square
278,[0 0 1 0 0 0 0],7,1,reducer
279,[0 0 1 0 0 0 0],32,6,generate point unit square
280,[0 0 1 0 0 0 0],75,13,count point inside outside inscribed circle square
282,[0 0 1 0 0 0 0],38,7,query usually partial record
283,[0 0 0 0 1 0 0],37,8,param type record query
300,[1 0 1 0 0 0 0],71,12,submitted future statistic far future
303,[1 0 0 0 0 0 0],2,1,
305,[1 0 0 0 0 0 0],56,9,class encapsulates encryption detail file
306,[1 0 0 0 0 0 0],36,5,internal constant registry
307,[0 0 0 0 0 0 1],51,10,thing visible user
311,[0 0 0 0 1 0 0],20,2,see resourcerequest
320,[0 0 1 0 1 0 0],72,12,link builder user also make verification custom resource
323,[1 0 0 0 1 0 0],59,6,builder class link resourcerequestsjsonverifications
324,[1 0 0 0 0 0 0],74,11,defines contract implemented request intercepter class
327,[1 0 0 0 0 0 0],35,6,context queue scheduler
330,[1 0 0 0 0 0 0],138,21,simple shell based implementation link groupmappingserviceprovider exec code group code shell command fetch group
331,[1 0 0 0 0 0 0],62,9,specialized socketfactory create socket sock proxy
332,[1 0 0 0 1 0 0],60,7,link statestoredriver implementation based filesystem
333,[1 0 0 0 0 0 0],49,5,shared functionality hadoopstreaming format
334,[0 0 0 1 0 0 0],22,5,custom reader
335,[0 0 0 1 0 0 0],76,13,defined recordreader constructor selected
336,[0 0 0 1 0 0 0],44,6,option bin hadoopstreaming inputreader
338,[1 0 1 0 0 0 0],70,10,program generates random namespace structure following
339,[0 0 1 0 0 0 0],11,1,constraint
340,[0 0 1 0 0 0 0],1,1,
344,[0 0 1 0 0 0 0],1,1,
345,[0 0 1 0 0 0 0],51,8,file randomly placed empty directory
347,[0 0 1 0 0 0 0],35,4,file follows gaussian distribution
348,[0 0 1 0 0 0 0],73,12,generated namespace structure described two file output
349,[0 0 1 0 0 0 0],10,1,directory
352,[0 0 0 1 0 0 0],30,6,synopsis command
356,[0 0 0 1 0 0 0],79,11,maxwidth maxwidth maximum number subdirectory per directory default
357,[0 0 0 1 0 0 0],60,10,numoffiles offiles total number file default
358,[0 0 1 1 0 0 0],68,9,avgfilesize avgfilesizeinblocks average size block default
359,[0 0 1 1 0 0 0],64,9,outdir outdir output directory default current directory
360,[0 0 0 1 0 0 0],67,11,seed seed random number generator seed default current time
362,[1 0 0 0 0 0 0],89,15,thrown indicate data locality calculated requested path incorrect
363,[0 0 0 0 0 1 0],68,12,data locality calculated openstack swift version old
365,[0 0 0 0 1 0 0],37,5,get current operation statistic
366,[0 0 0 0 1 0 0],36,6,return snapshot statistic
367,[0 0 0 0 1 0 0],41,7,base class swift rest operation
368,[0 0 0 0 1 0 0],16,3,param request
369,[0 0 0 0 1 0 0],15,3,param r result
370,[0 0 0 0 1 0 0],37,5,get current operation statistic
371,[0 0 0 0 1 0 0],36,6,return snapshot statistic
373,[0 0 0 0 1 0 0],36,6,return snapshot statistic
376,[0 0 0 0 1 0 0],37,5,get current operation statistic
377,[0 0 0 0 1 0 0],36,6,return snapshot statistic
378,[0 0 0 0 1 0 0],17,2,create operation
379,[0 0 0 0 1 0 0],37,5,get current operation statistic
380,[0 0 0 0 1 0 0],36,6,return snapshot statistic
381,[0 0 0 0 1 0 0],17,2,delete operation
382,[0 0 0 0 1 0 0],8,2,param r
383,[1 0 0 0 0 0 0],41,5,class maintains table configuration
384,[1 0 1 0 0 0 0],45,7,test addblockop written read correctly
386,[1 0 0 0 0 0 0],39,7,test seek operation adl file system
388,[1 0 0 0 0 0 0],34,5,test custom oauth token provider
392,[1 0 0 0 0 0 0],32,3,test editlogfileoutputstream
393,[1 0 0 0 1 0 0],43,6,unit test link federationpolicyutils
395,[1 0 0 0 0 0 0],24,3,test handler interface
403,[1 0 0 0 0 0 0],56,10,test upload buffering flush logic wasb
409,[1 0 0 0 1 0 0],44,6,test class link ozonenativeauthorizer
411,[0 0 1 0 0 0 0],69,12,test depends testproto definition type src test proto
413,[1 0 0 0 0 0 0],15,2,rdbstore test
415,[1 0 0 0 0 0 0],52,6,test class validate routerwebserviceutil method
421,[0 0 1 0 0 0 0],73,12,li recover failure saving second storage directory li
422,[0 0 1 0 0 0 0],71,10,li recover failure moving current lastcheckpointtmp li
430,[1 0 1 0 0 0 0],77,14,test start several run namenodes minicluster
432,[1 0 0 0 0 0 0],47,9,default config set point filesystem
434,[0 0 0 0 0 0 1],55,9,swiftfs implement feature
435,[0 0 0 0 0 0 1],54,10,behavior swiftfs match normal
436,[0 0 0 0 0 0 1],62,9,contract normally mean directory equal file
437,[0 0 0 0 0 0 1],27,5,treated equal
438,[1 0 0 0 0 0 0],58,9,special committer cleanup temporary file
440,[0 0 0 0 0 0 1],59,8,framework fileoutputcommitter clean temporary
441,[1 0 0 0 0 0 1],31,5,file left behind aborttask
442,[0 0 0 0 0 0 1],24,6,want test case
443,[1 0 0 0 0 0 1],51,8,find file hence short circuit aborttask
444,[0 0 0 1 0 0 0],46,6,special committer always requires commit
445,[1 0 0 0 1 0 0],101,11,test context api link statusreportergetprogress via link taskattemptcontextgetprogress api
446,[1 0 0 0 0 0 0],22,4,test class topcli
447,[1 0 0 0 0 0 0],39,8,end end test case upgrade domain
449,[0 0 1 0 0 0 0],53,9,config file put node decommission state
452,[1 0 0 0 1 0 0],42,7,link inputformat plain text file
455,[0 0 1 0 0 0 0],66,12,either linefeed carriage return used signal end line
456,[0 0 1 0 0 0 0],1,1,
457,[1 0 1 0 1 0 0],73,10,encapsulates information regarding data retrieve entity
464,[0 0 1 0 1 0 0],12,2,response
465,[0 0 0 0 1 0 0],56,8,represented link timelinefilterlist object
466,[0 0 0 0 1 0 0],46,4,containing link timelineprefixfilter object
467,[0 0 1 0 1 0 0],19,4,either
468,[0 0 1 0 1 0 0],68,11,exact config key prefix compared config
469,[0 0 1 0 1 0 0],64,9,empty configuration fetched fieldstoretrieve
470,[0 0 0 0 1 0 0],49,7,contains link fieldconfigs link fieldall
471,[0 0 1 0 1 0 0],69,11,confused configfilters used decide entity
472,[0 0 1 0 1 0 0],15,2,return instead
474,[0 0 1 0 1 0 0],12,2,response
475,[0 0 0 0 1 0 0],56,8,represented link timelinefilterlist object
476,[0 0 0 0 1 0 0],46,4,containing link timelineprefixfilter object
477,[0 0 1 0 1 0 0],19,4,either
478,[0 0 1 0 1 0 0],67,11,exact metric id prefix compared metric
479,[0 0 1 0 1 0 0],66,10,empty metric fetched fieldstoretrieve contains
480,[0 0 1 0 1 0 0],67,11,metricfilters used decide entity return
481,[0 0 1 0 1 0 0],8,1,instead
483,[0 0 1 0 1 0 0],54,9,namely entity id entity type entity created time
484,[0 0 1 0 1 0 0],15,3,field
486,[0 0 1 0 1 0 0],28,5,number metric return
487,[0 0 1 0 1 0 0],47,9,parameter ignored metric
488,[0 0 1 0 1 0 0],11,2,fetched
490,[0 0 1 0 1 0 0],13,2,retrieved
492,[0 0 1 0 1 0 0],13,2,retrieved
495,[1 0 0 0 0 0 1],65,10,abstract class monitoring health timeline storage
496,[1 0 0 0 1 0 0],50,6,implementation runtimefactory tony runtime
501,[1 0 0 0 0 0 0],24,4,input split distcp
502,[0 0 1 0 0 0 0],75,14,look copy listing group content input split
505,[1 0 0 0 0 0 0],16,3,utility class
506,[1 0 0 0 0 0 0],11,2,provides
507,[1 0 0 0 0 0 0],71,14,path filter utility filter output part file output dir
515,[0 0 1 1 0 0 0],35,6,doesnt accept path log
525,[0 0 1 1 1 0 0],19,3,define alternate
528,[0 0 0 1 1 0 0],61,9,p one may optimize compare intensive operation overriding
531,[0 0 0 1 1 0 0],26,4,static utility method
534,[1 0 0 0 0 0 0],69,9,implementation interface provide authorization related
536,[0 0 1 0 0 0 1],30,7,excepted
539,[0 0 1 0 0 0 1],70,11,involve expensive computation method could invoked rpc
540,[1 0 0 0 0 0 0],24,5,submit job cluster
543,[1 0 0 0 0 0 0],76,11,plugin automatically instantiated within spark executor
544,[1 0 0 0 0 0 0],75,13,function return zero output record input record
545,[0 0 0 1 0 0 0],68,10,java bean class used example javasqlnetworkwordcount
546,[1 0 0 0 0 0 0],91,18,perform streaming testing using welch sample test stream data data
547,[1 0 0 0 0 0 0],44,8,stream arrives text file directory
549,[1 0 0 0 0 0 0],91,16,significant p value user specified timeout number batch exceeded
552,[0 0 1 0 0 0 0],10,2,false
555,[0 0 0 1 0 0 0],64,4,javastreamingtestexample datadir batchduration numbatchestimeout
557,[0 0 0 1 0 0 0],47,7,timeout insignificant batch call
558,[0 0 0 1 0 0 0],60,7,bin run example mllibjavastreamingtestexample datadir
559,[0 0 0 1 0 0 0],83,14,add text file datadir significance test wil continually update every
560,[0 0 0 1 0 0 0],85,14,batchduration second test becomes significant p value number
561,[0 0 0 1 0 0 0],45,5,batch processed exceeds numbatchestimeout
571,[0 0 1 0 0 0 0],17,3,serializer
573,[0 0 1 0 0 0 0],18,3,app defined type
576,[0 0 1 0 0 0 0],57,9,data also automatically compressed save disk space
578,[0 0 1 0 0 0 0],30,5,h automatic key management h
581,[0 0 1 0 0 0 0],40,8,key type written store
583,[0 0 1 0 0 0 0],80,16,prefix character easy use manual automatic key
584,[0 0 1 0 0 0 0],35,5,management apis without conflict
588,[0 0 1 0 1 0 0],86,16,object written store link kvindex index created sort data
589,[0 0 1 0 0 0 0],34,6,value property
590,[0 0 1 0 0 0 0],56,9,make possible provide sorting without
591,[0 0 1 0 0 0 0],52,10,load instance type store
598,[1 0 0 0 0 0 0],95,15,storage index file functionality historically used spark earlier
599,[1 0 0 0 0 0 0],70,14,wrapper message hold two separate piece header body
600,[1 0 0 0 0 0 0],34,7,request remove set block
602,[1 0 0 0 0 0 0],8,1,message
603,[0 0 0 0 1 0 0],78,7,used link orgapachesparknetworkshuffleoneforoneblockfetcher
604,[1 0 0 0 0 0 0],105,16,set field struct contains along convenience method finding manipulating
606,[0 0 1 0 0 0 0],44,8,actual block data contained
607,[0 0 1 0 0 0 0],45,7,passed streamcallbackwithid
608,[0 0 1 0 0 0 0],46,5,returned rpchandlerreceivestream
611,[0 0 0 0 0 0 1],48,8,particular allows get current project
612,[0 0 0 0 0 0 1],51,5,configuration etc see icpropertyprovider interface
614,[0 0 0 0 0 0 1],48,8,handle event see buttonpressed int
615,[0 0 0 0 0 0 1],48,8,several utility method create widget
616,[0 0 0 0 0 0 1],43,7,uniform manner setuplabel setuptext etc
617,[0 0 0 0 0 0 1],51,9,mean handle control message main
620,[1 0 0 0 0 0 0],56,9,ruler action add breakpoint dialog property
621,[1 0 0 0 0 0 0],46,8,delegate add line breakpoint action
626,[0 0 0 0 0 1 0],9,2,since
628,[0 0 1 0 0 0 0],65,12,test suite execute testcases added suite
636,[0 1 0 0 0 0 0],19,3,author mike kucera
639,[0 0 0 1 0 0 0],17,2,li initialization
642,[0 0 0 1 0 0 0],47,5,new cconfigurationdescriptioncache created
644,[0 0 0 1 0 0 0],96,9,li client needed icconfigurationdescription get cconfigurationdescription using constructor
648,[0 0 0 1 0 0 0],104,14,li fcfgcache used getspecsettings cconfigurationspecsettings fcfgcache set null
650,[0 0 0 1 0 0 0],42,6,li user enters project property setting
653,[0 0 0 1 0 0 0],38,3,cconfigurationdescriptioncache
655,[0 0 0 1 0 0 0],93,12,li user change setting setting configuration cconfigurationdescription save
657,[0 0 0 1 0 0 0],99,10,li new cconfigurationdescriptioncache created cconfigurationdescription via constructor
658,[0 0 0 1 0 0 0],76,4,cconfigurationdescriptioncache icconfigurationdescription basedescription
659,[0 0 0 1 0 0 0],5,1,
660,[0 0 0 1 0 0 0],45,5,basedescription saved fbasedescription
661,[0 0 0 1 0 0 0],45,3,li cconfigurationdescriptioncacheapplydata
662,[0 0 0 1 0 0 0],28,6,used persist data
666,[0 0 0 1 1 0 0],31,2,see icconfigurationdescription
667,[0 0 0 1 1 0 0],30,2,see cconfigurationdescription
668,[0 0 0 1 1 0 0],29,2,see cprojectdescriptionevent
669,[0 0 0 0 1 0 0],28,2,see idebugmodelpresentation
670,[0 0 0 0 1 0 0],19,2,see icelementdelta
675,[0 0 0 0 0 1 0],11,2,since
678,[0 0 0 0 0 1 0],9,2,since
679,[1 0 0 0 0 0 0],62,9,c specific implementation allows action visit problem
680,[1 0 0 0 0 0 0],35,4,reference operator declarators
681,[0 0 1 0 0 0 0],49,7,compiler would resolve instantiation
682,[1 0 0 0 0 0 0],51,8,represents variable implicitly created c code
684,[0 0 0 1 0 0 0],39,6,code auto first second decomposed code
685,[0 0 0 1 0 0 0],55,8,code initializerevaluation code supplied
686,[1 0 0 0 0 0 0],78,16,property tester determines file executable c c project
687,[1 0 0 0 0 0 0],79,12,class implement setting cui initial preference store setting
689,[1 0 0 0 0 0 0],88,12,default implementation icontextinfo used environment variable provider
690,[0 0 0 0 0 0 1],88,11,used represent configuration project workspace eclipse environment context
694,[0 0 0 1 0 0 0],55,12,em class intended use outside cdt em
700,[1 0 0 0 0 0 1],160,24,class replace category reference orgeclipsecdtui exclude bring orgeclipsecdtmanagedbuildui plug
701,[0 0 0 0 0 1 0],9,2,since
702,[0 0 0 0 0 0 1],60,12,purpose find path stdc library located
703,[0 0 0 1 0 0 0],45,8,currently shell script linux
704,[1 0 0 0 0 0 0],40,5,configures c editor folding preference
706,[1 0 0 0 0 0 0],54,7,test verify operation formattedvaluesvmutil
707,[0 0 0 0 0 1 0],9,2,since
708,[0 0 1 0 0 0 0],76,13,helper class store element path node using certain format
711,[0 0 0 0 0 1 0],42,7,need new finallaunchsequence gdb
712,[0 0 0 0 0 1 0],9,2,since
715,[1 0 0 0 0 0 0],48,5,default implementation link igdbsourcelookup
717,[0 0 0 0 0 1 0],9,2,since
720,[0 0 0 1 0 0 0],46,8,imanagedbuildermakefilegenerator e h
722,[0 0 0 1 0 0 0],46,20,n makefile k e f l e e h
728,[0 0 0 1 0 0 0],6,2,c srcs
730,[0 0 0 1 0 0 0],43,22,r e u r c e v r e h
733,[0 0 0 1 0 0 0],51,6,window drive letter whitespace appropriately
735,[0 0 0 1 0 0 0],77,16,context path appear right hand side rule header
741,[0 0 0 1 0 0 0],44,6,throw nullpointerexception path null
743,[0 0 0 1 0 0 0],33,5,resource changed
747,[0 0 0 1 0 0 0],23,4,regenerated
749,[0 0 0 1 0 0 0],7,1,
750,[0 0 0 1 0 0 0],61,12,relying make right thing confronted
752,[0 0 0 1 0 0 0],26,5,said make treat
753,[0 0 0 1 0 0 0],72,15,missing header file dependency rule target build
754,[0 0 0 1 0 0 0],22,3,unless told otherwise
758,[0 0 0 1 0 0 0],46,8,imanagedbuildermakefilegenerator e h
760,[0 0 0 1 0 0 0],46,20,n makefile k e f l e e h
764,[0 0 0 1 0 0 0],64,13,add macro addition prefix map macro name entry
766,[0 0 0 1 0 0 0],6,2,c srcs
768,[0 0 0 1 0 0 0],43,22,r e u r c e v r e h
771,[0 0 0 1 0 0 0],51,6,window drive letter whitespace appropriately
773,[0 0 0 1 0 0 0],77,16,context path appear right hand side rule header
781,[0 0 0 1 0 0 0],70,12,class used recursively walk project determine
782,[0 0 0 1 0 0 0],42,5,module contribute buildable source file
788,[0 0 0 0 1 0 0],43,6,see interface hierarchy specific
789,[0 0 0 0 1 0 0],39,5,see link icsettingentrylibrary file
791,[0 0 0 0 1 1 0],56,5,deprecated replaced link includefilecontentprovider
792,[0 0 0 1 0 0 0],72,11,noreference interface intended referenced client
802,[1 0 0 0 0 0 0],54,10,virt specifier end function declaration
803,[0 0 1 0 0 0 0],51,9,two virt specifier final override
808,[0 0 1 0 0 0 0],46,8,instance usually provided adapter
809,[1 0 0 0 0 0 0],33,6,factory create dsf service
811,[1 0 0 0 0 0 0],79,10,tracecontrol service provides access debugger tracing functionality
814,[0 0 1 0 0 0 0],17,3,gdb specific part
815,[0 0 1 0 0 0 0],73,12,marker interface context trace operation performed
816,[0 0 1 0 0 0 0],17,3,gdb specific part
818,[0 0 1 0 0 0 0],26,4,describes tracing data
819,[0 0 1 0 0 0 0],17,3,gdb specific part
820,[0 0 1 0 0 0 0],75,10,model data interface corresponds itracerecorddmcontext
821,[0 0 1 0 0 0 0],17,3,gdb specific part
822,[0 0 1 0 0 0 0],12,2,trace event
823,[0 0 1 0 0 1 0],27,5,gdb specific part since
829,[1 0 0 0 0 0 0],45,7,service controlling back end process
832,[1 0 0 0 0 0 0],67,8,represents microsoft attribute specifier introduced declspec
833,[0 0 0 0 0 1 0],9,2,since
836,[1 0 0 0 0 0 0],31,5,control flow graph node factory
839,[0 0 0 1 0 0 0],37,5,client may implement interface
841,[0 0 0 0 0 1 0],9,2,since
843,[1 0 0 0 0 0 0],70,10,service extension iregisters manage user defined register group
844,[0 0 0 0 0 1 0],9,2,since
849,[1 0 0 0 0 0 0],35,6,represents status test item
852,[1 0 0 0 0 0 0],114,13,helper class handling serialization notification language setting entry link iclanguagesettingentry
862,[0 0 0 0 0 0 1],82,14,case gdb report exec command failure running event fired
863,[1 0 0 0 0 0 0],94,15,class handle type situation firing mierrorevent error appears
864,[0 0 0 0 0 1 0],9,2,since
869,[0 0 0 0 1 0 0],28,5,would happen
872,[0 0 0 0 1 0 0],33,5,violated many assumption
876,[0 0 0 0 1 0 0],75,11,dsf requiring normal synchronization primitive everything
878,[0 0 0 0 1 0 0],43,8,resolve problem code
879,[0 0 0 0 1 0 0],66,9,link queueevent breakpointevent ensures event fully
881,[0 0 0 0 0 1 0],9,2,since
885,[0 0 0 1 0 0 0],30,5,data list register name regno
887,[0 0 0 1 0 0 0],31,4,environment directory r pathdir
888,[1 0 0 0 0 0 0],67,11,add directory pathdir beginning search path source file
893,[0 0 1 0 0 0 0],66,12,class track stack depth debug frame internal cache
900,[0 0 0 0 0 0 1],18,4,stack info depth
906,[0 0 0 0 0 0 1],87,14,concept applicable stack list frame command different limit
911,[0 0 0 0 0 0 1],24,5,data error
913,[0 0 0 0 0 0 1],91,14,problem mi gdb reply randomly sometimes data sometimes error
914,[0 0 0 0 0 0 1],26,6,cache valid data
916,[0 0 0 0 0 0 1],22,5,cache error
922,[0 0 0 0 0 1 0],48,11,detected gdb mi gdb
923,[0 0 0 0 0 1 0],9,2,since
925,[1 0 0 0 0 0 0],27,5,tab group launch group
927,[0 1 0 0 0 0 0],21,3,author doug schaefer
930,[1 0 0 0 0 0 0],83,10,represents declaration definition reference binding except macro
932,[1 0 0 0 0 0 0],70,9,class implement external process launching internal builder
934,[0 0 0 0 1 0 0],54,6,see also http wwwlinuxhowtosorg system procstathtm
936,[0 0 1 0 0 0 0],63,12,equivalent java type map string list pdomname
937,[0 1 0 0 0 0 0],20,4,author ee graf ifs
938,[1 0 0 0 1 0 0],37,5,test see returncheckertest class
939,[0 0 0 1 1 0 0],60,9,instance obtained link rulercolumnregistry
944,[1 0 0 0 0 0 0],61,9,test interaction source lookup work expected
948,[0 0 0 1 0 0 0],41,4,link basetestcasesource path directory
951,[0 0 0 1 0 0 0],75,15,wild card sourcelookup exe one following cover
953,[0 0 0 1 0 0 0],29,5,program compiled
954,[0 0 0 1 0 0 0],46,7,option produce different debug
955,[0 0 0 1 0 0 0],48,8,information find source file
956,[0 0 0 1 1 0 0],25,5,see makefile
957,[0 0 0 1 1 0 0],12,1,information
959,[0 0 0 1 0 0 0],42,10,li b ac b absolute canonical path
960,[0 0 0 1 0 0 0],1,1,
966,[0 0 0 1 0 0 0],1,1,
967,[0 0 0 1 0 0 0],21,5,path passed gcc
969,[0 0 0 1 0 0 0],1,1,
970,[0 0 0 1 0 0 0],21,5,path passed gcc
973,[0 0 0 0 0 1 0],56,13,addition also b dwarf b name
975,[0 0 0 0 0 1 0],71,12,designed run gdb see comment makefile olddwarfflags
978,[0 0 0 1 0 1 0],76,13,result variation compilation argument mean
