index,labels,comment_sentence,comment_clean,combo,combo_clean
22,"[0, 0, 0, 0, 1, 0, 0]",code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1.,code source file http grepcode com file repo maven org maven org apache maven maven artifact org apache maven artifact versioning comparableversion java modification made top source,code source of this file http grepcode^com file repo1^maven.org maven2 org^apache.maven maven artifact 31.1 org apache maven artifact versioning comparableversion^java modifications made on top of the source 1. | ComparableVersion.java,code source file http grepcode com file repo maven org maven org apache maven maven artifact org apache maven artifact versioning comparableversion java modification made top source | comparableversion java
23,"[1, 0, 0, 1, 0, 0, 0]",generic implementation of version comparison.,generic implementation version comparison,generic implementation of version comparison. | ComparableVersion.java,generic implementation version comparison | comparableversion java
24,"[0, 0, 0, 1, 0, 0, 0]",p features,p feature,p features | ComparableVersion.java,p feature | comparableversion java
25,"[0, 0, 0, 1, 0, 0, 0]",li code milestone code or code m code li,li code milestone code code code li,li code milestone code or code m code li | ComparableVersion.java,li code milestone code code code li | comparableversion java
26,"[0, 0, 0, 1, 0, 0, 0]",li code rc code or code cr code li,li code rc code code cr code li,li code rc code or code cr code li | ComparableVersion.java,li code rc code code cr code li | comparableversion java
27,"[0, 0, 0, 1, 0, 0, 0]",li code the empty string code or code ga code or code final code li,li code empty string code code ga code code final code li,li code the empty string code or code ga code or code final code li | ComparableVersion.java,li code empty string code code ga code code final code li | comparableversion java
28,"[0, 0, 0, 1, 0, 0, 0]","unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive ,",unknown qualifier considered known qualifier lexical order always case insensitive,"unknown qualifiers are considered after known qualifiers, with lexical order always case insensitive , | ComparableVersion.java",unknown qualifier considered known qualifier lexical order always case insensitive | comparableversion java
29,"[1, 0, 0, 1, 0, 0, 0]",represents a numeric item in the version item list.,represents numeric item version item list,represents a numeric item in the version item list. | ComparableVersion.java,represents numeric item version item list | comparableversion java
30,"[1, 0, 0, 1, 0, 0, 0]","represents a string in the version item list, usually a qualifier.",represents string version item list usually qualifier,"represents a string in the version item list, usually a qualifier. | ComparableVersion.java",represents string version item list usually qualifier | comparableversion java
31,"[1, 0, 0, 1, 0, 0, 0]",represents a version list item.,represents version list item,represents a version list item. | ComparableVersion.java,represents version list item | comparableversion java
32,"[1, 0, 0, 1, 0, 0, 0]",this class is used both for the global item list and for sub lists which start,class used global item list sub list start,this class is used both for the global item list and for sub lists which start | ComparableVersion.java,class used global item list sub list start | comparableversion java
33,"[1, 0, 0, 0, 0, 0, 0]",with number in the version specification .,number version specification,with number in the version specification . | ComparableVersion.java,number version specification | comparableversion java
34,"[1, 0, 0, 0, 0, 0, 0]",exception to throw in case of a configuration problem.,exception throw case configuration problem,exception to throw in case of a configuration problem. | ConfigurationException.java,exception throw case configuration problem | configurationexception java
35,"[1, 0, 0, 0, 0, 0, 1]",utility for sampling and computing cpu usage.,utility sampling computing cpu usage,utility for sampling and computing cpu usage. | CpuTimeTracker.java,utility sampling computing cpu usage | cputimetracker java
36,"[1, 0, 0, 0, 0, 0, 0]",user visible configs based rocksdb tuning page.,user visible configs based rocksdb tuning page,user visible configs based rocksdb tuning page. | DBProfile.java,user visible configs based rocksdb tuning page | dbprofile java
37,"[0, 0, 0, 1, 1, 0, 0]",documentation for options.,documentation option,documentation for options. | DBProfile.java,documentation option | dbprofile java
38,"[0, 0, 0, 1, 1, 0, 0]",https github^com facebook rocksdb blob master include rocksdb options^h,http github com facebook rocksdb blob master include rocksdb option h,https github^com facebook rocksdb blob master include rocksdb options^h | DBProfile.java,http github com facebook rocksdb blob master include rocksdb option h | dbprofile java
39,"[0, 0, 0, 1, 1, 0, 0]",most tuning parameters are based on this url.,tuning parameter based url,most tuning parameters are based on this url. | DBProfile.java,tuning parameter based url | dbprofile java
40,"[0, 0, 0, 1, 1, 0, 0]",https github^com facebook rocksdb wiki setup options and basic tuning,http github com facebook rocksdb wiki setup option basic tuning,https github^com facebook rocksdb wiki setup options and basic tuning | DBProfile.java,http github com facebook rocksdb wiki setup option basic tuning | dbprofile java
41,"[1, 0, 0, 0, 0, 0, 0]",default rumen json serializer.,default rumen json serializer,default rumen json serializer. | DefaultAnonymizingRumenSerializer.java,default rumen json serializer | defaultanonymizingrumenserializer java
42,"[0, 0, 0, 1, 0, 0, 0]",system installed openssl.,system installed openssl,system installed openssl. | DelegatingSSLSocketFactory.java,system installed openssl | delegatingsslsocketfactory java
43,"[0, 0, 0, 0, 0, 0, 1]","however, the name",however name,"however, the name | DelegatingSSLSocketFactory.java",however name | delegatingsslsocketfactory java
44,"[0, 0, 0, 1, 0, 0, 1]",was not changed in order to preserve backwards compatibility.,changed order preserve backwards compatibility,was not changed in order to preserve backwards compatibility. | DelegatingSSLSocketFactory.java,changed order preserve backwards compatibility | delegatingsslsocketfactory java
45,"[0, 0, 0, 1, 0, 0, 1]",implementation with no changes to the list of enabled ciphers.,implementation change list enabled cipher,implementation with no changes to the list of enabled ciphers. | DelegatingSSLSocketFactory.java,implementation change list enabled cipher | delegatingsslsocketfactory java
46,"[1, 0, 1, 0, 0, 0, 0]",a delegation token identifier that is specific to hdfs.,delegation token identifier specific hdfs,a delegation token identifier that is specific to hdfs. | DelegationTokenIdentifier.java,delegation token identifier specific hdfs | delegationtokenidentifier java
47,"[1, 0, 0, 0, 0, 0, 0]",diskbalancercluster represents the nodes that we are working against.,diskbalancercluster represents node working,diskbalancercluster represents the nodes that we are working against. | DiskBalancerCluster.java,diskbalancercluster represents node working | diskbalancercluster java
48,"[0, 0, 1, 0, 0, 0, 0]",please note,please note,please note | DiskBalancerCluster.java,please note | diskbalancercluster java
49,"[0, 0, 1, 0, 0, 0, 0]",semantics of inclusionlist and exclusionlists.,semantics inclusionlist exclusionlists,semantics of inclusionlist and exclusionlists. | DiskBalancerCluster.java,semantics inclusionlist exclusionlists | diskbalancercluster java
50,"[0, 0, 1, 0, 0, 0, 0]",if a non empty inclusionlist is specified then the diskbalancer assumes that,non empty inclusionlist specified diskbalancer assumes,if a non empty inclusionlist is specified then the diskbalancer assumes that | DiskBalancerCluster.java,non empty inclusionlist specified diskbalancer assumes | diskbalancercluster java
51,"[0, 0, 1, 0, 0, 0, 0]",not in exclusionlist is processed.,exclusionlist processed,not in exclusionlist is processed. | DiskBalancerCluster.java,exclusionlist processed | diskbalancercluster java
52,"[0, 0, 1, 0, 0, 0, 0]","if inclusionlist is empty, then we assume that all live nodes in the nodes is",inclusionlist empty assume live node node,"if inclusionlist is empty, then we assume that all live nodes in the nodes is | DiskBalancerCluster.java",inclusionlist empty assume live node node | diskbalancercluster java
53,"[0, 0, 1, 0, 0, 0, 0]",in that case diskbalancer will avoid any,case diskbalancer avoid,in that case diskbalancer will avoid any | DiskBalancerCluster.java,case diskbalancer avoid | diskbalancercluster java
54,"[0, 0, 1, 0, 0, 0, 0]",nodes specified in the exclusionlist but will process all nodes in the,node specified exclusionlist process node,nodes specified in the exclusionlist but will process all nodes in the | DiskBalancerCluster.java,node specified exclusionlist process node | diskbalancercluster java
55,"[0, 0, 1, 0, 0, 0, 0]",only a given list is processed and exclusionlist is always honored.,given list processed exclusionlist always honored,only a given list is processed and exclusionlist is always honored. | DiskBalancerCluster.java,given list processed exclusionlist always honored | diskbalancercluster java
56,"[1, 0, 0, 0, 0, 0, 0]","object used by the application master when distributed scheduling is enabled,",object used application master distributed scheduling enabled,"object used by the application master when distributed scheduling is enabled, | DistributedSchedulingAllocateRequest.java",object used application master distributed scheduling enabled | distributedschedulingallocaterequest java
57,"[0, 0, 1, 0, 0, 0, 0]",the thread which does the actual work of tailing edits journals and,thread actual work tailing edits journal,the thread which does the actual work of tailing edits journals and | EditLogTailer.java,thread actual work tailing edits journal | editlogtailer java
58,"[0, 0, 0, 0, 0, 0, 1]",this cannot just be the a single proxy since we could,cannot single proxy since could,this cannot just be the a single proxy since we could | EditLogTailer.java,cannot single proxy since could | editlogtailer java
59,"[0, 0, 0, 0, 0, 0, 1]",retries before throwing up our hands.,retries throwing hand,retries before throwing up our hands. | EditLogTailer.java,retries throwing hand | editlogtailer java
60,"[0, 0, 0, 0, 0, 0, 1]",a working proxy is retained across attempts since we,working proxy retained across attempt since,a working proxy is retained across attempts since we | EditLogTailer.java,working proxy retained across attempt since | editlogtailer java
61,"[0, 0, 1, 0, 0, 0, 0]",namenode image.,namenode image,namenode image. | ErasureCodingPolicyManager.java,namenode image | erasurecodingpolicymanager java
62,"[0, 0, 0, 1, 1, 0, 0]",this class is instantiated by the fsnamesystem.,class instantiated fsnamesystem,this class is instantiated by the fsnamesystem. | ErasureCodingPolicyManager.java,class instantiated fsnamesystem | erasurecodingpolicymanager java
63,"[1, 0, 0, 0, 0, 0, 0]",event watcher the re send a message after timeout.,event watcher send message timeout,event watcher the re send a message after timeout. | EventWatcher.java,event watcher send message timeout | eventwatcher java
64,"[0, 0, 0, 0, 0, 0, 1]",event watcher will send the tracked payload event after a timeout period,event watcher send tracked payload event timeout period,event watcher will send the tracked payload event after a timeout period | EventWatcher.java,event watcher send tracked payload event timeout period | eventwatcher java
65,"[0, 0, 0, 0, 0, 0, 1]",unless a confirmation from the original event completion event is arrived.,unless confirmation original event completion event arrived,unless a confirmation from the original event completion event is arrived. | EventWatcher.java,unless confirmation original event completion event arrived | eventwatcher java
66,"[0, 0, 0, 0, 1, 0, 0]",@param timeout payload the type of the events which are tracked.,param timeout payload type event tracked,@param timeout payload the type of the events which are tracked. | EventWatcher.java,param timeout payload type event tracked | eventwatcher java
67,"[1, 0, 0, 0, 1, 0, 0]",an orderingpolicy which orders schedulableentities for fairness see,orderingpolicy order schedulableentities fairness see,an orderingpolicy which orders schedulableentities for fairness see | FairOrderingPolicy.java,orderingpolicy order schedulableentities fairness see | fairorderingpolicy java
68,"[1, 0, 0, 0, 1, 0, 0]","fairsharepolicy , generally, processes with lesser usage are lesser.",fairsharepolicy generally process lesser usage lesser,"fairsharepolicy , generally, processes with lesser usage are lesser. | FairOrderingPolicy.java",fairsharepolicy generally process lesser usage lesser | fairorderingpolicy java
69,"[0, 0, 0, 1, 0, 0, 0]",sizedbasedweight is set to true then an application with high demand,sizedbasedweight set true application high demand,sizedbasedweight is set to true then an application with high demand | FairOrderingPolicy.java,sizedbasedweight set true application high demand | fairorderingpolicy java
70,"[0, 0, 0, 1, 0, 0, 0]","continuously optional, default false",continuously optional default false,"continuously optional, default false | FairOrderingPolicy.java",continuously optional default false | fairorderingpolicy java
71,"[1, 0, 0, 0, 1, 0, 0]",file system implementation of @link applicationhistorystore .,file system implementation link applicationhistorystore,file system implementation of @link applicationhistorystore . | FileSystemApplicationHistoryStore.java,file system implementation link applicationhistorystore | filesystemapplicationhistorystore java
72,"[0, 0, 1, 0, 1, 0, 0]","open a file, while @link #applicationfinished applicationfinishdata is",open file link applicationfinished applicationfinishdata,"open a file, while @link #applicationfinished applicationfinishdata is | FileSystemApplicationHistoryStore.java",open file link applicationfinished applicationfinishdata | filesystemapplicationhistorystore java
73,"[1, 0, 0, 0, 0, 0, 0]",filesystem related constants.,filesystem related constant,filesystem related constants. | FsConstants.java,filesystem related constant | fsconstants java
74,"[1, 0, 0, 0, 0, 0, 0]",indicates that a method has been passed illegal or invalid argument.,indicates method passed illegal invalid argument,indicates that a method has been passed illegal or invalid argument. | HadoopIllegalArgumentException.java,indicates method passed illegal invalid argument | hadoopillegalargumentexception java
75,"[0, 0, 0, 1, 0, 0, 0]",just by editing the hadoop configuration used to bring up the client.,editing hadoop configuration used bring client,just by editing the hadoop configuration used to bring up the client. | InconsistentS3ClientFactory.java,editing hadoop configuration used bring client | inconsistents clientfactory java
76,"[1, 0, 0, 0, 0, 0, 0]",test list performance.,test list performance,test list performance. | ITestListPerformance.java,test list performance | itestlistperformance java
77,"[1, 0, 0, 0, 0, 0, 0]",kerberos spnego authentication mechanism and support for hadoop delegation,kerberos spnego authentication mechanism support hadoop delegation,kerberos spnego authentication mechanism and support for hadoop delegation | KerberosDelegationTokenAuthenticator.java,kerberos spnego authentication mechanism support hadoop delegation | kerberosdelegationtokenauthenticator java
78,"[1, 0, 0, 0, 0, 0, 0]",token operations.,token operation,token operations. | KerberosDelegationTokenAuthenticator.java,token operation | kerberosdelegationtokenauthenticator java
79,"[0, 0, 1, 0, 1, 0, 0]",endpoint does not trigger a spnego authentication,endpoint trigger spnego authentication,endpoint does not trigger a spnego authentication | KerberosDelegationTokenAuthenticator.java,endpoint trigger spnego authentication | kerberosdelegationtokenauthenticator java
80,"[1, 0, 0, 0, 1, 0, 0]",a @link loggedtask represents a hadoop task that is part of a hadoop job.,link loggedtask represents hadoop task part hadoop job,a @link loggedtask represents a hadoop task that is part of a hadoop job. | LoggedTask.java,link loggedtask represents hadoop task part hadoop job | loggedtask java
81,"[0, 0, 0, 1, 0, 0, 0]",want to write out in the json files.,want write json file,want to write out in the json files. | LoggedTask.java,want write json file | loggedtask java
82,"[1, 0, 0, 0, 1, 0, 0]",common utility functions for @link logparser .,common utility function link logparser,common utility functions for @link logparser . | LogParserUtil.java,common utility function link logparser | logparserutil java
83,"[1, 0, 1, 0, 0, 0, 0]",lru cache with a configurable maximum cache size and access order.,lru cache configurable maximum cache size access order,lru cache with a configurable maximum cache size and access order. | LRUCacheHashMap.java,lru cache configurable maximum cache size access order | lrucachehashmap java
84,"[0, 0, 0, 1, 0, 0, 0]",@param valuein the value input type to the mapper,param valuein value input type mapper,@param valuein the value input type to the mapper | MapContext.java,param valuein value input type mapper | mapcontext java
85,"[0, 0, 0, 1, 0, 0, 0]",@param valueout the value output type from the mapper,param valueout value output type mapper,@param valueout the value output type from the mapper | MapContext.java,param valueout value output type mapper | mapcontext java
86,"[1, 0, 0, 0, 0, 0, 0]",exception meta block with the same name already exists.,exception meta block name already exists,exception meta block with the same name already exists. | MetaBlockAlreadyExists.java,exception meta block name already exists | metablockalreadyexists java
87,"[1, 0, 0, 0, 0, 0, 0]",a metrics cache for sinks that don t support sparse updates.,metric cache sink support sparse update,a metrics cache for sinks that don t support sparse updates. | MetricsCache.java,metric cache sink support sparse update | metricscache java
88,"[0, 0, 1, 0, 0, 0, 0]",cached record,cached record,cached record | MetricsCache.java,cached record | metricscache java
89,"[1, 0, 0, 0, 0, 0, 0]",this sample parser will parse the sample log and extract the resource,sample parser parse sample log extract resource,this sample parser will parse the sample log and extract the resource | NativeSingleLineParser.java,sample parser parse sample log extract resource | nativesinglelineparser java
90,"[1, 0, 0, 0, 0, 0, 0]",success or error status is reported in nfs3 responses.,success error status reported nfs response,success or error status is reported in nfs3 responses. | Nfs3Status.java,success error status reported nfs response | nfs status java
91,"[0, 0, 1, 0, 0, 0, 0]",this information is built from the dn container reports.,information built dn container report,this information is built from the dn container reports. | Node2ObjectsMap.java,information built dn container report | node objectsmap java
92,"[1, 0, 1, 0, 0, 0, 0]",consume all outputs and put them in dev null.,consume output put dev null,consume all outputs and put them in dev null. | NullOutputFormat.java,consume output put dev null | nulloutputformat java
93,"[1, 0, 0, 0, 0, 0, 0]",this class stores om node details.,class store om node detail,this class stores om node details. | OMNodeDetails.java,class store om node detail | omnodedetails java
94,"[1, 0, 0, 0, 1, 0, 0]",builder class for omnodedetails.,builder class omnodedetails,builder class for omnodedetails. | OMNodeDetails.java,builder class omnodedetails | omnodedetails java
95,"[1, 0, 0, 0, 0, 0, 0]",protocol buffer implementation of opportunisticcontainersstatus.,protocol buffer implementation opportunisticcontainersstatus,protocol buffer implementation of opportunisticcontainersstatus. | OpportunisticContainersStatusPBImpl.java,protocol buffer implementation opportunisticcontainersstatus | opportunisticcontainersstatuspbimpl java
96,"[1, 0, 0, 0, 0, 0, 0]",class representing an unique ozone object.,class representing unique ozone object,class representing an unique ozone object. | OzoneObj.java,class representing unique ozone object | ozoneobj java
97,"[0, 0, 1, 0, 0, 0, 0]",ozone objects supported for acl.,ozone object supported acl,ozone objects supported for acl. | OzoneObj.java,ozone object supported acl | ozoneobj java
98,"[1, 0, 0, 0, 0, 0, 0]",a class for parsing outputs,class parsing output,a class for parsing outputs | Parser.java,class parsing output | parser java
99,"[0, 0, 0, 0, 1, 0, 0]",interface for an @link org^apache.hadoop^mapreduce.outputcommitter,interface link org apache hadoop mapreduce outputcommitter,interface for an @link org^apache.hadoop^mapreduce.outputcommitter | PartialOutputCommitter.java,interface link org apache hadoop mapreduce outputcommitter | partialoutputcommitter java
100,"[1, 0, 0, 0, 0, 0, 1]",this class represents queue user resource usage info for a given partition,class represents queue user resource usage info given partition,this class represents queue user resource usage info for a given partition | PartitionResourcesInfo.java,class represents queue user resource usage info given partition | partitionresourcesinfo java
101,"[1, 0, 0, 0, 0, 0, 0]",helper functionality to read the pid from a file.,helper functionality read pid file,helper functionality to read the pid from a file. | ProcessIdFileReader.java,helper functionality read pid file | processidfilereader java
102,"[0, 0, 1, 0, 0, 0, 0]",arbitrary integrals can be approximated numerically by qmc methods.,arbitrary integral approximated numerically qmc method,arbitrary integrals can be approximated numerically by qmc methods. | QuasiMonteCarlo.java,arbitrary integral approximated numerically qmc method | quasimontecarlo java
103,"[0, 0, 0, 1, 1, 0, 0]","in this example,",example,"in this example, | QuasiMonteCarlo.java",example | quasimontecarlo java
104,"[0, 0, 0, 1, 1, 0, 0]","we use a qmc method to approximate the integral i int s f x dx ,",use qmc method approximate integral int f x dx,"we use a qmc method to approximate the integral i int s f x dx , | QuasiMonteCarlo.java",use qmc method approximate integral int f x dx | quasimontecarlo java
105,"[0, 0, 0, 1, 0, 0, 0]","where s 0,1 ^2 is a unit square,",unit square,"where s 0,1 ^2 is a unit square, | QuasiMonteCarlo.java",unit square | quasimontecarlo java
106,"[0, 0, 0, 1, 0, 0, 0]","x x 1,x 2 is a 2 dimensional point,",x x x dimensional point,"x x 1,x 2 is a 2 dimensional point, | QuasiMonteCarlo.java",x x x dimensional point | quasimontecarlo java
107,"[0, 0, 0, 1, 0, 0, 0]","and f is a function describing the inscribed circle of the square s ,",f function describing inscribed circle square,"and f is a function describing the inscribed circle of the square s , | QuasiMonteCarlo.java",f function describing inscribed circle square | quasimontecarlo java
108,"[0, 0, 0, 1, 0, 0, 0]","f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise.",f x x x lt f x otherwise,"f x 1 if 2x 1 1 ^2 2x 2 1 ^2 &lt 1 and f x 0 , otherwise. | QuasiMonteCarlo.java",f x x x lt f x otherwise | quasimontecarlo java
109,"[0, 0, 0, 1, 0, 0, 0]",it is easy to see that pi is equal to 4i .,easy see pi equal,it is easy to see that pi is equal to 4i . | QuasiMonteCarlo.java,easy see pi equal | quasimontecarlo java
110,"[0, 0, 0, 1, 0, 0, 0]",so an approximation of pi is obtained once i is evaluated numerically.,approximation pi obtained evaluated numerically,so an approximation of pi is obtained once i is evaluated numerically. | QuasiMonteCarlo.java,approximation pi obtained evaluated numerically | quasimontecarlo java
111,"[0, 0, 1, 1, 0, 0, 0]",there are better methods for computing pi.,better method computing pi,there are better methods for computing pi. | QuasiMonteCarlo.java,better method computing pi | quasimontecarlo java
112,"[0, 0, 1, 1, 0, 0, 0]",we emphasize numerical approximation of arbitrary integrals in this example.,emphasize numerical approximation arbitrary integral example,we emphasize numerical approximation of arbitrary integrals in this example. | QuasiMonteCarlo.java,emphasize numerical approximation arbitrary integral example | quasimontecarlo java
113,"[0, 0, 1, 1, 0, 0, 0]","for computing many digits of pi, consider using bbp.",computing many digit pi consider using bbp,"for computing many digits of pi, consider using bbp. | QuasiMonteCarlo.java",computing many digit pi consider using bbp | quasimontecarlo java
114,"[0, 0, 1, 0, 0, 0, 0]",the implementation is discussed below.,implementation discussed,the implementation is discussed below. | QuasiMonteCarlo.java,implementation discussed | quasimontecarlo java
115,"[0, 0, 1, 0, 0, 0, 0]",generate points in a unit square,generate point unit square,generate points in a unit square | QuasiMonteCarlo.java,generate point unit square | quasimontecarlo java
116,"[0, 0, 1, 0, 0, 0, 0]",and then count points inside outside of the inscribed circle of the square.,count point inside outside inscribed circle square,and then count points inside outside of the inscribed circle of the square. | QuasiMonteCarlo.java,count point inside outside inscribed circle square | quasimontecarlo java
117,"[0, 0, 1, 0, 0, 0, 0]",the query is usually a partial record.,query usually partial record,the query is usually a partial record. | Query.java,query usually partial record | query java
118,"[0, 0, 0, 0, 1, 0, 0]",@param t type of the record to query.,param type record query,@param t type of the record to query. | Query.java,param type record query | query java
119,"[1, 0, 1, 0, 0, 0, 0]","all the submitted futures, and statistics about how far the futures are",submitted future statistic far future,"all the submitted futures, and statistics about how far the futures are | ReencryptionUpdater.java",submitted future statistic far future | reencryptionupdater java
120,"[1, 0, 0, 0, 0, 0, 0]",class that encapsulates re encryption details of a file.,class encapsulates encryption detail file,class that encapsulates re encryption details of a file. | ReencryptionUpdater.java,class encapsulates encryption detail file | reencryptionupdater java
121,"[1, 0, 0, 0, 0, 0, 0]",internal constants for the registry.,internal constant registry,internal constants for the registry. | RegistryInternalConstants.java,internal constant registry | registryinternalconstants java
122,"[0, 0, 0, 0, 0, 0, 1]",these are the things which aren t visible to users.,thing visible user,these are the things which aren t visible to users. | RegistryInternalConstants.java,thing visible user | registryinternalconstants java
123,"[0, 0, 0, 0, 1, 0, 0]",@see resourcerequest,see resourcerequest,@see resourcerequest | ResourceBlacklistRequest.java,see resourcerequest | resourceblacklistrequest java
124,"[0, 0, 1, 0, 1, 0, 0]","@link builder , users can also make verifications of the custom resource",link builder user also make verification custom resource,"@link builder , users can also make verifications of the custom resource | ResourceRequestsJsonVerifications.java",link builder user also make verification custom resource | resourcerequestsjsonverifications java
125,"[1, 0, 0, 0, 1, 0, 0]",builder class for @link resourcerequestsjsonverifications .,builder class link resourcerequestsjsonverifications,builder class for @link resourcerequestsjsonverifications . | ResourceRequestsJsonVerifications.java,builder class link resourcerequestsjsonverifications | resourcerequestsjsonverifications java
126,"[1, 0, 0, 0, 0, 0, 0]","defines the contract to be implemented by the request intercepter classes,",defines contract implemented request intercepter class,"defines the contract to be implemented by the request intercepter classes, | RMAdminRequestInterceptor.java",defines contract implemented request intercepter class | rmadminrequestinterceptor java
127,"[1, 0, 0, 0, 0, 0, 0]",context of the queues in scheduler.,context queue scheduler,context of the queues in scheduler. | SchedulerQueueManager.java,context queue scheduler | schedulerqueuemanager java
128,"[1, 0, 0, 0, 0, 0, 0]",a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group,simple shell based implementation link groupmappingserviceprovider exec code group code shell command fetch group,a simple shell based implementation of @link groupmappingserviceprovider that exec s the code groups code shell command to fetch the group | ShellBasedUnixGroupsMapping.java,simple shell based implementation link groupmappingserviceprovider exec code group code shell command fetch group | shellbasedunixgroupsmapping java
129,"[1, 0, 0, 0, 0, 0, 0]",specialized socketfactory to create sockets with a socks proxy,specialized socketfactory create socket sock proxy,specialized socketfactory to create sockets with a socks proxy | StandardSocketFactory.java,specialized socketfactory create socket sock proxy | standardsocketfactory java
130,"[1, 0, 0, 0, 1, 0, 0]",@link statestoredriver implementation based on a filesystem.,link statestoredriver implementation based filesystem,@link statestoredriver implementation based on a filesystem. | StateStoreFileSystemImpl.java,link statestoredriver implementation based filesystem | statestorefilesystemimpl java
