index,class,comment_sentence,partition,combo,labels
116,BlGridLayout,alignmargins bounds of each element are extended outwards according to their margins before the edges of the resulting rectangle are aligned,0,alignmargins bounds of each element are extended outwards according to their margins before the edges of the resulting rectangle are aligned | blgridlayout,"[0, 0, 0, 0, 1, 0]"
118,BlGridLayout,internal representation and key implementation points,0,internal representation and key implementation points | blgridlayout,"[1, 0, 0, 0, 0, 0]"
127,BlHandlerRegistry,registry,0,registry | blhandlerregistry,"[0, 1, 0, 0, 0, 0]"
128,BlHeadlessHost,i am a fallback host that is chosen if there are no other available and supported hosts,0,i am a fallback host that is chosen if there are no other available and supported hosts | blheadlesshost,"[0, 0, 1, 1, 0, 0]"
129,BlHostPulseLoop,i am the bloc main loop,0,i am the bloc main loop | blhostpulseloop,"[0, 0, 0, 1, 0, 0]"
132,BlHostPulseLoop,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete,0,this may be delayed if there are background processes wanting to run to ensure that background calculation of ui elements can complete | blhostpulseloop,"[1, 0, 0, 0, 0, 0]"
134,BlInfiniteDataSourceCommandType,i am a type of data source update command,0,i am a type of data source update command | blinfinitedatasourcecommandtype,"[0, 0, 0, 1, 0, 0]"
135,BlInfiniteDataSourceCommandType,i suppose to be stateless and therefore immutable,0,i suppose to be stateless and therefore immutable | blinfinitedatasourcecommandtype,"[1, 0, 0, 0, 0, 0]"
139,BlInfiniteDataSourceItemRangeMoved,sent by,0,sent by | blinfinitedatasourceitemrangemoved,"[0, 0, 0, 0, 0, 1]"
144,BlInfiniteDataSourceItemRangeMoved,do event self inform item was moved from event from asstring to event to asstring,0,do event self inform item was moved from event from asstring to event to asstring | blinfinitedatasourceitemrangemoved,"[0, 1, 0, 0, 0, 0]"
145,BlInfiniteExampleClassesDataSource,i am a data source of the collection of all classes in the image,0,i am a data source of the collection of all classes in the image | blinfiniteexampleclassesdatasource,"[0, 0, 0, 1, 0, 1]"
146,BlInfiniteItemAnimationsFinished,i can be used for example to delay an action in a data set until currently running animations are complete,0,i can be used for example to delay an action in a data set until currently running animations are complete | blinfiniteitemanimationsfinished,"[0, 0, 1, 0, 0, 0]"
156,BlLayout,i am attached to a bloc element and define the visual structure of that bloc element,0,i am attached to a bloc element and define the visual structure of that bloc element | bllayout,"[0, 0, 1, 0, 0, 1]"
158,BlLayout,layout constraints,0,layout constraints | bllayout,"[1, 0, 0, 0, 0, 0]"
159,BlLayout,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout,0,i support a set of attributes refered to as constraints in bloc which define the visual properties of the layout | bllayout,"[1, 0, 0, 0, 0, 0]"
161,BlLayout,each layout has a dedicated constraint objects instance of class bllayoutcommonconstraints that contain these common constraints,0,each layout has a dedicated constraint objects instance of class bllayoutcommonconstraints that contain these common constraints | bllayout,"[1, 0, 0, 0, 0, 0]"
162,BlLayout,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints,0,each type of layout can further define its own specific constraints by creating a subclass of class bllayoutconstraints | bllayout,"[1, 0, 0, 0, 0, 0]"
163,BlLayout,layout phase in a frame,0,layout phase in a frame | bllayout,"[1, 0, 0, 0, 0, 0]"
164,BlLayout,layouting of elements is a phase executed by a space during every frame,0,layouting of elements is a phase executed by a space during every frame | bllayout,"[1, 0, 0, 0, 0, 0]"
165,BlLayout,every frame the space goes through several phases method blspaceframe initializephases,0,every frame the space goes through several phases method blspaceframe initializephases | bllayout,"[1, 0, 0, 0, 0, 0]"
166,BlLayout,phases are modeled as subclasses of class blspaceframephase and are executed once per frame,0,phases are modeled as subclasses of class blspaceframephase and are executed once per frame | bllayout,"[1, 0, 0, 0, 0, 0]"
167,BlLayout,one of them class blspaceframelayoutphase consists in layouting the elements contained in the space,0,one of them class blspaceframelayoutphase consists in layouting the elements contained in the space | bllayout,"[1, 0, 0, 0, 0, 0]"
168,BlLayout,this is done after events and tasks have been executed but before the drawing phase,0,this is done after events and tasks have been executed but before the drawing phase | bllayout,"[1, 0, 0, 0, 0, 0]"
169,BlLayout,layouting should to be executed during a frame when various properties like width height or position change in any element contained by the space,0,layouting should to be executed during a frame when various properties like width height or position change in any element contained by the space | bllayout,"[1, 0, 0, 0, 0, 0]"
170,BlLayout,however an important aspect in bloc is that when one of these properties changes layouting is not performed immediately,0,however an important aspect in bloc is that when one of these properties changes layouting is not performed immediately | bllayout,"[1, 0, 0, 0, 0, 0]"
171,BlLayout,instead a layout request is issued by the element whose property changed using the message method blelement requestlayout,0,instead a layout request is issued by the element whose property changed using the message method blelement requestlayout | bllayout,"[1, 0, 0, 0, 0, 0]"
172,BlLayout,this has the advantage that if no element request layout this phase can be skipped,0,this has the advantage that if no element request layout this phase can be skipped | bllayout,"[1, 0, 0, 0, 0, 0]"
174,BlLayout,hence in bloc layout is not executed immediately after a property like the width of an element changes,0,hence in bloc layout is not executed immediately after a property like the width of an element changes | bllayout,"[1, 0, 0, 1, 0, 0]"
177,BlLayout,that can be done using the messafe method blelement forcelayout this should not be used outside of tests as it bypasses the normal layouting system from bloc,0,that can be done using the messafe method blelement forcelayout this should not be used outside of tests as it bypasses the normal layouting system from bloc | bllayout,"[1, 0, 0, 0, 0, 0]"
178,BlLayout,however often elements need to reach and perform actions when for example their position or extent changes,0,however often elements need to reach and perform actions when for example their position or extent changes | bllayout,"[1, 0, 0, 0, 0, 0]"
179,BlLayout,they can react by requesting another layout,0,they can react by requesting another layout | bllayout,"[1, 0, 0, 0, 0, 0]"
180,BlLayout,a tipical example is deadling with edges,0,a tipical example is deadling with edges | bllayout,"[1, 0, 0, 0, 0, 0]"
181,BlLayout,an edge can be layouted only after the position of the elements that it connects is known,0,an edge can be layouted only after the position of the elements that it connects is known | bllayout,"[1, 0, 0, 0, 0, 0]"
183,BlLayout,the space only allows layout requests during the layouting phase a limited number of times method blspace computelayout to avoid blocking rendering due to infinite recursions caused by layout requests or void spending too much time on layouts in a frame,0,the space only allows layout requests during the layouting phase a limited number of times method blspace computelayout to avoid blocking rendering due to infinite recursions caused by layout requests or void spending too much time on layouts in a frame | bllayout,"[1, 0, 0, 0, 0, 0]"
185,BlLayout,performing a layout,0,performing a layout | bllayout,"[1, 0, 0, 0, 0, 0]"
187,BlLayout,performing the layout on an element consists in executing three main steps,0,performing the layout on an element consists in executing three main steps | bllayout,"[1, 0, 0, 0, 0, 0]"
189,BlLayout,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element,0,this is the first step when performing a layout on an element and consists in determening the measured bounds of that element | bllayout,"[1, 0, 0, 0, 0, 0]"
191,BlLayout,by default class blelement delegates the measuring to its layout,0,by default class blelement delegates the measuring to its layout | bllayout,"[1, 0, 0, 0, 0, 0]"
192,BlLayout,layouts should override method bllayout measure with to implement the actual measuring,0,layouts should override method bllayout measure with to implement the actual measuring | bllayout,"[1, 0, 0, 0, 0, 0]"
193,BlLayout,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring,0,normally layouts follow a top to bottom approach they measure the current element and then asks its children to do the measuring | bllayout,"[1, 0, 0, 0, 0, 0]"
194,BlLayout,each element has real bounds blelement bounds and measured bounds blelement measuredbounds,0,each element has real bounds blelement bounds and measured bounds blelement measuredbounds | bllayout,"[1, 0, 0, 0, 0, 0]"
195,BlLayout,the real bounds contain the actual position and extent of an element that users of that element should rely on,0,the real bounds contain the actual position and extent of an element that users of that element should rely on | bllayout,"[1, 0, 0, 0, 0, 0]"
196,BlLayout,the measured bounds are used during layouting to hold the new extent of an element,0,the measured bounds are used during layouting to hold the new extent of an element | bllayout,"[1, 0, 0, 0, 0, 0]"
197,BlLayout,the measuring phase changes only the extent in the measured bounds,0,the measuring phase changes only the extent in the measured bounds | bllayout,"[1, 0, 0, 0, 0, 0]"
199,BlLayout,the measured bounds act like a temporary cache for the new bounds of an element,0,the measured bounds act like a temporary cache for the new bounds of an element | bllayout,"[1, 0, 0, 0, 0, 0]"
200,BlLayout,they were introduced to avoid changing the real extent of element while layouting of children is still being performed,0,they were introduced to avoid changing the real extent of element while layouting of children is still being performed | bllayout,"[1, 0, 0, 0, 0, 0]"
202,BlLayout,applying the layout,0,applying the layout | bllayout,"[1, 0, 0, 0, 0, 0]"
205,BlLayout,space starts the measurement process from the root element after measurement it tell children to measure themselves etc,0,space starts the measurement process from the root element after measurement it tell children to measure themselves etc | bllayout,"[1, 0, 0, 0, 0, 0]"
206,BlLayout,measurement top to bottom though all the composition of elements,0,measurement top to bottom though all the composition of elements | bllayout,"[1, 0, 0, 0, 0, 0]"
207,BlLayout,this step find the size of an element and sets measuredextent or position sometimes,0,this step find the size of an element and sets measuredextent or position sometimes | bllayout,"[1, 0, 0, 0, 0, 0]"
208,BlLayout,space starts the layout step,0,space starts the layout step | bllayout,"[1, 0, 0, 0, 0, 0]"
209,BlLayout,as we know the size of each child we compute the actual position for each child,0,as we know the size of each child we compute the actual position for each child | bllayout,"[1, 0, 0, 0, 0, 0]"
211,BlLayout,elements announce events for position and extent changed,0,elements announce events for position and extent changed | bllayout,"[1, 0, 0, 0, 0, 0]"
212,BlLayout,without event handlers the layout process is going to happen only once,0,without event handlers the layout process is going to happen only once | bllayout,"[1, 0, 0, 0, 0, 0]"
213,BlLayout,for example when nodes change the position edges should be updated,0,for example when nodes change the position edges should be updated | bllayout,"[1, 0, 0, 0, 0, 0]"
214,BlLayout,layout events,0,layout events | bllayout,"[1, 0, 0, 0, 0, 0]"
217,BlLayout,i define an api of a layout,0,i define an api of a layout | bllayout,"[1, 0, 0, 0, 1, 0]"
218,BlLayout,concrete implementations should focus on measure with and layout in,0,concrete implementations should focus on measure with and layout in | bllayout,"[1, 0, 0, 0, 1, 0]"
219,BlLocalImageCacheTest,this class contains tests,0,this class contains tests | bllocalimagecachetest,"[0, 0, 1, 0, 0, 0]"
221,BlMatrix2D,my components are named according to mathematical convention,0,my components are named according to mathematical convention | blmatrix2d,"[1, 0, 0, 0, 0, 0]"
223,BlMatrix2D,a21 a22 shx sy,0,a21 a22 shx sy | blmatrix2d,"[1, 0, 0, 0, 0, 0]"
226,BlMatrixDecomposition,for example in case of 2d matrix they are,0,for example in case of 2d matrix they are | blmatrixdecomposition,"[1, 0, 0, 0, 0, 0]"
230,BlMatrixDecomposition,top left 2x2 minor of original matrix,0,top left 2x2 minor of original matrix | blmatrixdecomposition,"[1, 0, 0, 0, 0, 0]"
237,BlMatrixTransformation,i am an affine transformation that is directly defined by transformation matrix,0,i am an affine transformation that is directly defined by transformation matrix | blmatrixtransformation,"[0, 0, 0, 1, 0, 0]"
238,BlMeasurementUnspecifiedMode,i represent a concrete implementation of unspecified measurement mode,0,i represent a concrete implementation of unspecified measurement mode | blmeasurementunspecifiedmode,"[0, 0, 0, 1, 0, 0]"
240,BlMorphicHostSpace,i am a host space created by blmorphichost,0,i am a host space created by blmorphichost | blmorphichostspace,"[0, 0, 0, 1, 0, 0]"
247,BlMouseMiddleButton,i am a middle mouse button,0,i am a middle mouse button | blmousemiddlebutton,"[0, 0, 0, 1, 0, 0]"
249,BlMouseMoveEvent,the mouse move event is fired when a pointing device usually a mouse is moved while over an element,0,the mouse move event is fired when a pointing device usually a mouse is moved while over an element | blmousemoveevent,"[0, 0, 0, 0, 0, 1]"
250,BlMouseProcessor,i am an event processor,0,i am an event processor | blmouseprocessor,"[0, 0, 0, 1, 0, 0]"
255,BlPerpendicularFractionAnchor,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors,0,i am a virtual anchor that lays on a perpendicular to a line between two reference anchors | blperpendicularfractionanchor,"[0, 0, 1, 1, 0, 0]"
256,BlPerpendicularFractionAnchor,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors,0,the curvature distance from the line connecting reference anchors is defined as a fraction curvaturefraction of a length between anchors | blperpendicularfractionanchor,"[1, 0, 0, 0, 0, 0]"
259,BlPolygon,10 50,0,10 50 | blpolygon,"[0, 1, 0, 0, 0, 0]"
263,BlPolygon,80 140,0,80 140 | blpolygon,"[0, 1, 0, 0, 0, 0]"
265,BlRectangleShapeWithArrowExplanation,the goal of this tutorial is to create an element with an arrow like pointer in the middle of the top edge as shown below,0,the goal of this tutorial is to create an element with an arrow like pointer in the middle of the top edge as shown below | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
269,BlRectangleShapeWithArrowExplanation,even more compex would be to implement the support for positioning the arrow on different edges eg left bottom or an ability to have multiple arrows on separate edges,0,even more compex would be to implement the support for positioning the arrow on different edges eg left bottom or an ability to have multiple arrows on separate edges | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
272,BlRectangleShapeWithArrowExplanation,creating a rectangle shape,0,creating a rectangle shape | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
276,BlRectangleShapeWithArrowExplanation,in order to give the arrow pointing up enough space we should move the top edge of the rectangle down by the length of the arrow,0,in order to give the arrow pointing up enough space we should move the top edge of the rectangle down by the length of the arrow | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
281,BlRectangleShapeWithArrowExplanation,injecting a line inside of the top edge,0,injecting a line inside of the top edge | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
283,BlRectangleShapeWithArrowExplanation,it can be done by sending method bllineshape injectlineat length to the topedge,0,it can be done by sending method bllineshape injectlineat length to the topedge | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
285,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation rectanglewithtopinjectedline previewshow gtlivefor previewexpanded true previewheight 250,0,example blrectangleshapewitharrowexplanation rectanglewithtopinjectedline previewshow gtlivefor previewexpanded true previewheight 250 | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
287,BlRectangleShapeWithArrowExplanation,we are almost ready to create a rectangular arrow,0,we are almost ready to create a rectangular arrow | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
289,BlRectangleShapeWithArrowExplanation,we can do so by sending a method bllineshape splitat to the now middle section of the topedge which was created by the previous line injection step,0,we can do so by sending a method bllineshape splitat to the now middle section of the topedge which was created by the previous line injection step | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
290,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation rectanglewithtoppolylinesplitinhalf previewshow gtlivefor previewexpanded true previewheight 250,0,example blrectangleshapewitharrowexplanation rectanglewithtoppolylinesplitinhalf previewshow gtlivefor previewexpanded true previewheight 250 | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
291,BlRectangleShapeWithArrowExplanation,moving the top of the triangle,0,moving the top of the triangle | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
295,BlRectangleShapeWithArrowExplanation,example blrectangleshapewitharrowexplanation rectanglewithtoparrow previewshow gtlivefor previewexpanded true previewheight 250,0,example blrectangleshapewitharrowexplanation rectanglewithtoparrow previewshow gtlivefor previewexpanded true previewheight 250 | blrectangleshapewitharrowexplanation,"[0, 1, 0, 0, 0, 0]"
296,BlScalableFitHeightStrategy,i make sure that content element fits vertically within scalable element,0,i make sure that content element fits vertically within scalable element | blscalablefitheightstrategy,"[0, 0, 1, 0, 0, 0]"
297,BlScalableFitWidthStrategy,i make sure that content element fits horizontally within scalable element,0,i make sure that content element fits horizontally within scalable element | blscalablefitwidthstrategy,"[0, 0, 1, 0, 0, 0]"
299,BlSpaceEventExamples,i contain examples of space related events,0,i contain examples of space related events | blspaceeventexamples,"[0, 0, 1, 0, 0, 0]"
300,BlSpaceFramePhase,i represent a frame phase,0,i represent a frame phase | blspaceframephase,"[0, 0, 0, 1, 0, 0]"
301,BlSpaceFramePhase,each phase knows about its start time and send a corresponding event once the phase is completed,0,each phase knows about its start time and send a corresponding event once the phase is completed | blspaceframephase,"[0, 0, 1, 0, 0, 0]"
302,BlSpartaMozSkiaCanvasBuilder,i am a copy of class blspartamozcanvasbuilder,0,i am a copy of class blspartamozcanvasbuilder | blspartamozskiacanvasbuilder,"[0, 0, 0, 1, 0, 0]"
304,BlTextBackgroundAttribute,i represent a text background attribute,0,i represent a text background attribute | bltextbackgroundattribute,"[0, 0, 0, 1, 0, 0]"
305,BlTextBackgroundAttribute,i am used together with brtext and brtextstyler to style text,0,i am used together with brtext and brtextstyler to style text | bltextbackgroundattribute,"[0, 0, 1, 0, 0, 1]"
306,BlTextBackgroundAttribute,public api and key messages,0,public api and key messages | bltextbackgroundattribute,"[0, 0, 0, 0, 1, 0]"
307,BlTextBackgroundAttribute,paint set background paint,0,paint set background paint | bltextbackgroundattribute,"[0, 0, 0, 0, 1, 0]"
310,BlTextElementMeasurementStrategyExamples,text measurement strategies,0,text measurement strategies | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
311,BlTextElementMeasurementStrategyExamples,class bltextelement provides different text measurement strategies each suitable for a specific use case,0,class bltextelement provides different text measurement strategies each suitable for a specific use case | bltextelementmeasurementstrategyexamples,"[0, 0, 0, 0, 0, 1]"
312,BlTextElementMeasurementStrategyExamples,there is no perfect strategy therefore understanding the differences between them is an important step in learning how to work with text in bloc,0,there is no perfect strategy therefore understanding the differences between them is an important step in learning how to work with text in bloc | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 1]"
313,BlTextElementMeasurementStrategyExamples,label measurement,0,label measurement | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
315,BlTextElementMeasurementStrategyExamples,it means that the height of the text is independent from the content,0,it means that the height of the text is independent from the content | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
316,BlTextElementMeasurementStrategyExamples,the width is given by the exact bounds of the element s text,0,the width is given by the exact bounds of the element s text | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
317,BlTextElementMeasurementStrategyExamples,please note that since the width is precise and depends on the content whitespace is not taken into account when computing the width of the text element,0,please note that since the width is precise and depends on the content whitespace is not taken into account when computing the width of the text element | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
319,BlTextElementMeasurementStrategyExamples,editor measurement,0,editor measurement | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
322,BlTextElementMeasurementStrategyExamples,method bltextelement editormeasurement,0,method bltextelement editormeasurement | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
323,BlTextElementMeasurementStrategyExamples,example bltextelementmeasurementstrategyexamples textelementwitheditormeasurement nocode previewshow gtlivefor previewheight 100,0,example bltextelementmeasurementstrategyexamples textelementwitheditormeasurement nocode previewshow gtlivefor previewheight 100 | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
324,BlTextElementMeasurementStrategyExamples,precise measurement,0,precise measurement | bltextelementmeasurementstrategyexamples,"[0, 1, 0, 0, 0, 0]"
