index,class,comment_sentence,partition,combo,labels
1,AccessMixin,functionality,0,functionality | accessmixin,"[0, 0, 0, 0, 1]"
173,Individual,a model with a fk to itself,0,a model with a fk to itself | individual,"[0, 0, 0, 0, 1]"
178,Individual,related instances rendering will be called programmatically in this case,0,related instances rendering will be called programmatically in this case | individual,"[1, 0, 1, 0, 0]"
179,InputStreamExhausted,no more reads are allowed from this device,0,no more reads are allowed from this device | inputstreamexhausted,"[0, 0, 0, 1, 1]"
183,ListMixin,a base class which provides complete list interface,0,a base class which provides complete list interface | listmixin,"[0, 0, 0, 0, 1]"
186,ListMixin,function get single external self i,0,function get single external self i | listmixin,"[0, 0, 0, 1, 0]"
187,ListMixin,return single item with index i for general use,0,return single item with index i for general use | listmixin,"[0, 0, 0, 1, 0]"
188,ListMixin,the index i will always satisfy 0 i len self,0,the index i will always satisfy 0 i len self | listmixin,"[0, 0, 0, 1, 0]"
190,ListMixin,same as above but for use within the class optional,0,same as above but for use within the class optional | listmixin,"[0, 0, 0, 1, 0]"
191,ListMixin,note that if get single internal and get single internal return,0,note that if get single internal and get single internal return | listmixin,"[0, 0, 0, 1, 0]"
192,ListMixin,different types of objects set list must distinguish,0,different types of objects set list must distinguish | listmixin,"[0, 0, 0, 1, 0]"
193,ListMixin,between the two and handle each appropriately,0,between the two and handle each appropriately | listmixin,"[0, 0, 0, 1, 0]"
194,ListMixin,function set list self length items,0,function set list self length items | listmixin,"[0, 0, 0, 1, 0]"
195,ListMixin,recreate the entire object,0,recreate the entire object | listmixin,"[0, 0, 0, 1, 0]"
197,ListMixin,therefore it is necessary to cache the values in a temporary,0,therefore it is necessary to cache the values in a temporary | listmixin,"[0, 0, 0, 1, 0]"
198,ListMixin,temp list items,0,temp list items | listmixin,"[0, 0, 0, 1, 0]"
199,ListMixin,before clobbering the original storage,0,before clobbering the original storage | listmixin,"[0, 0, 0, 1, 0]"
200,ListMixin,function set single self i value,0,function set single self i value | listmixin,"[0, 0, 0, 1, 0]"
201,ListMixin,set the single item at index i to value optional,0,set the single item at index i to value optional | listmixin,"[0, 0, 0, 1, 0]"
203,ListMixin,the object using set list,0,the object using set list | listmixin,"[0, 0, 0, 1, 0]"
204,ListMixin,function len self,0,function len self | listmixin,"[0, 0, 0, 1, 0]"
205,ListMixin,return the length,0,return the length | listmixin,"[0, 0, 0, 1, 0]"
206,ListMixin,int minlength,0,int minlength | listmixin,"[0, 0, 0, 1, 0]"
207,ListMixin,the minimum legal length optional,0,the minimum legal length optional | listmixin,"[0, 0, 0, 1, 0]"
208,ListMixin,int maxlength,0,int maxlength | listmixin,"[0, 0, 0, 1, 0]"
209,ListMixin,the maximum legal length optional,0,the maximum legal length optional | listmixin,"[0, 0, 0, 1, 0]"
210,ListMixin,type or tuple allowed,0,type or tuple allowed | listmixin,"[0, 0, 0, 1, 0]"
211,ListMixin,a type or tuple of allowed item types optional,0,a type or tuple of allowed item types optional | listmixin,"[0, 0, 0, 1, 0]"
212,LogoutThenLoginTests,tests for the logout then login view,0,tests for the logout then login view | logoutthenlogintests,"[0, 0, 0, 0, 1]"
213,MakeListTests,the make list filter can destroy existing escaping so the results are,0,the make list filter can destroy existing escaping so the results are | makelisttests,"[0, 0, 0, 1, 0]"
214,MakeListTests,escaped,0,escaped | makelisttests,"[0, 0, 0, 1, 0]"
215,ManagementForm,keep track of how many form instances are displayed on the page,0,keep track of how many form instances are displayed on the page | managementform,"[0, 0, 0, 0, 1]"
216,MemcachedCache,an implementation of a cache binding using python memcached,0,an implementation of a cache binding using python memcached | memcachedcache,"[0, 0, 0, 0, 1]"
217,MemoryFileUploadHandler,file upload handler to stream uploads into memory used for small files,0,file upload handler to stream uploads into memory used for small files | memoryfileuploadhandler,"[0, 0, 0, 0, 1]"
218,Migration,the base class for all migrations,0,the base class for all migrations | migration,"[0, 0, 0, 0, 1]"
219,Migration,it will have one or more,0,it will have one or more | migration,"[1, 1, 0, 0, 0]"
220,Migration,of the following attributes,0,of the following attributes | migration,"[1, 1, 0, 0, 0]"
221,Migration,operations a list of operation instances probably from django db migrations operations,0,operations a list of operation instances probably from django db migrations operations | migration,"[1, 1, 0, 0, 0]"
222,Migration,dependencies a list of tuples of app path migration name,0,dependencies a list of tuples of app path migration name | migration,"[1, 1, 0, 0, 0]"
223,Migration,run before a list of tuples of app path migration name,0,run before a list of tuples of app path migration name | migration,"[1, 1, 0, 0, 0]"
224,Migration,replaces a list of migration names,0,replaces a list of migration names | migration,"[1, 1, 0, 0, 0]"
225,MigrationGraph,represent the digraph of all migrations in a project,0,represent the digraph of all migrations in a project | migrationgraph,"[0, 0, 0, 0, 1]"
226,MigrationGraph,each migration is a node and each dependency is an edge,0,each migration is a node and each dependency is an edge | migrationgraph,"[0, 0, 1, 0, 0]"
227,MigrationGraph,there are,0,there are | migrationgraph,"[0, 0, 1, 0, 0]"
228,MigrationGraph,no implicit dependencies between numbered migrations the numbering is,0,no implicit dependencies between numbered migrations the numbering is | migrationgraph,"[0, 0, 1, 0, 0]"
232,MigrationGraph,the graph handler isn t responsible,0,the graph handler isn t responsible | migrationgraph,"[1, 0, 0, 0, 0]"
234,MigrationGraph,migration files and if the replaced migrations are all either unapplied,0,migration files and if the replaced migrations are all either unapplied | migrationgraph,"[1, 0, 0, 0, 0]"
236,MigrationGraph,replacing migration and repoint any dependencies that pointed to the,0,replacing migration and repoint any dependencies that pointed to the | migrationgraph,"[1, 0, 0, 0, 0]"
240,MigrationLoader,on initialization this class will scan those directories and open and,0,on initialization this class will scan those directories and open and | migrationloader,"[0, 0, 0, 1, 0]"
244,MigrationLoader,django db migrations migration for what that looks like,0,django db migrations migration for what that looks like | migrationloader,"[0, 0, 0, 1, 0]"
248,MigrationLoader,disk then they are injected into the main set replacing the named migrations,0,disk then they are injected into the main set replacing the named migrations | migrationloader,"[0, 0, 0, 1, 0]"
250,MigrationLoader,new migration,0,new migration | migrationloader,"[0, 0, 0, 1, 0]"
254,MigrationLoader,in memory,0,in memory | migrationloader,"[1, 0, 0, 0, 0]"
266,MultiPartParser,multivaluedict parse reads the input stream in chunk size chunks,0,multivaluedict parse reads the input stream in chunk size chunks | multipartparser,"[0, 0, 1, 0, 0]"
267,MultiPartParser,and returns a tuple of multivaluedict post multivaluedict files,0,and returns a tuple of multivaluedict post multivaluedict files | multipartparser,"[0, 0, 1, 0, 0]"
268,MultiValueDict,a subclass of dictionary customized to handle multiple values for the,0,a subclass of dictionary customized to handle multiple values for the | multivaluedict,"[0, 0, 0, 0, 1]"
269,MultiValueDict,same key,0,same key | multivaluedict,"[0, 0, 0, 0, 1]"
270,MultiValueDict,d multivaluedict name adrian simon position developer,0,d multivaluedict name adrian simon position developer | multivaluedict,"[1, 0, 0, 0, 0]"
272,MultiValueDict,simon,0,simon | multivaluedict,"[1, 0, 0, 0, 0]"
275,MultiValueDict,d get lastname nonexistent,0,d get lastname nonexistent | multivaluedict,"[1, 0, 0, 0, 0]"
284,MultiValueField,aggregate the logic of multiple fields,0,aggregate the logic of multiple fields | multivaluefield,"[0, 0, 0, 0, 1]"
285,MultiValueField,its clean method takes a decompressed list of values which are then,0,its clean method takes a decompressed list of values which are then | multivaluefield,"[0, 0, 0, 1, 0]"
287,MultiValueField,each value in,0,each value in | multivaluefield,"[0, 0, 0, 1, 0]"
288,MultiValueField,this list is cleaned by the corresponding field the first value is,0,this list is cleaned by the corresponding field the first value is | multivaluefield,"[0, 0, 0, 1, 0]"
289,MultiValueField,cleaned by the first field the second value is cleaned by the second,0,cleaned by the first field the second value is cleaned by the second | multivaluefield,"[0, 0, 0, 1, 0]"
291,MultiValueField,compressed into a single value,0,compressed into a single value | multivaluefield,"[0, 0, 0, 1, 0]"
293,MultiWidget,in addition to the values added by widget get context this widget,0,in addition to the values added by widget get context this widget | multiwidget,"[0, 0, 0, 1, 0]"
295,MultiWidget,these can be looped over and rendered like normal widgets,0,these can be looped over and rendered like normal widgets | multiwidget,"[0, 0, 0, 1, 0]"
297,NestedObjectsTests,tests for nestedobject utility collection,0,tests for nestedobject utility collection | nestedobjectstests,"[0, 0, 0, 0, 1]"
298,Operation,base class for migration operations,0,base class for migration operations | operation,"[0, 0, 0, 0, 1]"
299,Operation,it s responsible for both mutating the in memory model state,0,it s responsible for both mutating the in memory model state | operation,"[0, 0, 0, 1, 0]"
300,Operation,see db migrations state py to represent what it performs as well,0,see db migrations state py to represent what it performs as well | operation,"[0, 0, 0, 1, 0]"
302,OverwritingStorage,overwrite existing files instead of appending a suffix to generate an,0,overwrite existing files instead of appending a suffix to generate an | overwritingstorage,"[0, 0, 0, 0, 1]"
304,ParentWithDependentChildren,model where the validation of child foreign key relationships depends,0,model where the validation of child foreign key relationships depends | parentwithdependentchildren,"[0, 0, 0, 0, 1]"
305,ParentWithDependentChildren,on validation of the parent,0,on validation of the parent | parentwithdependentchildren,"[0, 0, 0, 0, 1]"
306,Permission,the permissions system provides a way to assign permissions to specific,0,the permissions system provides a way to assign permissions to specific | permission,"[0, 0, 0, 0, 1]"
307,Permission,users and groups of users,0,users and groups of users | permission,"[0, 0, 0, 0, 1]"
311,Permission,the add permission limits the user s ability to view the add form,0,the add permission limits the user s ability to view the add form | permission,"[1, 0, 0, 0, 0]"
312,Permission,and add an object,0,and add an object | permission,"[1, 0, 0, 0, 0]"
313,Permission,the change permission limits a user s ability to view the change,0,the change permission limits a user s ability to view the change | permission,"[1, 0, 0, 0, 0]"
314,Permission,list view the change form and change an object,0,list view the change form and change an object | permission,"[1, 0, 0, 0, 0]"
315,Permission,the delete permission limits the ability to delete an object,0,the delete permission limits the ability to delete an object | permission,"[1, 0, 0, 0, 0]"
317,Permission,the permissions listed above are automatically created for each model,0,the permissions listed above are automatically created for each model | permission,"[0, 0, 0, 1, 0]"
319,ProxyModelInheritanceTests,for the proxied model as described in 12286,0,for the proxied model as described in 12286 | proxymodelinheritancetests,"[0, 0, 0, 0, 1]"
321,ProxyModelInheritanceTests,apps and calls migrate then verifies that the table has been created,0,apps and calls migrate then verifies that the table has been created | proxymodelinheritancetests,"[0, 0, 0, 1, 0]"
322,RawPostDataException,you cannot access raw post data from a request that has,0,you cannot access raw post data from a request that has | rawpostdataexception,"[0, 0, 0, 0, 1]"
323,RawPostDataException,multipart post data if it has been accessed via post,0,multipart post data if it has been accessed via post | rawpostdataexception,"[0, 0, 0, 1, 1]"
324,RawPostDataException,files etc,0,files etc | rawpostdataexception,"[0, 0, 0, 1, 1]"
326,RemoteTestRunner,run tests and record everything but don t display anything,0,run tests and record everything but don t display anything | remotetestrunner,"[0, 0, 0, 0, 1]"
327,RequestFactoryEnvironmentTests,regression tests for 8551 and 17067 ensure that environment variables,0,regression tests for 8551 and 17067 ensure that environment variables | requestfactoryenvironmenttests,"[0, 0, 0, 1, 1]"
328,RequestFactoryEnvironmentTests,are set correctly in requestfactory,0,are set correctly in requestfactory | requestfactoryenvironmenttests,"[0, 0, 0, 1, 1]"
329,ReverseGenericManyToOneDescriptor,accessor to the related objects manager on the one to many relation created,0,accessor to the related objects manager on the one to many relation created | reversegenericmanytoonedescriptor,"[0, 0, 0, 0, 1]"
330,ReverseGenericManyToOneDescriptor,by genericrelation,0,by genericrelation | reversegenericmanytoonedescriptor,"[0, 0, 0, 0, 1]"
331,ReverseGenericManyToOneDescriptor,in the example,0,in the example | reversegenericmanytoonedescriptor,"[1, 0, 0, 0, 0]"
332,ReverseGenericManyToOneDescriptor,class post model,0,class post model | reversegenericmanytoonedescriptor,"[1, 0, 0, 0, 0]"
333,ReverseGenericManyToOneDescriptor,comments genericrelation comment,0,comments genericrelation comment | reversegenericmanytoonedescriptor,"[1, 0, 0, 0, 0]"
335,SameAsLookup,the operator is the same as operator,0,the operator is the same as operator | sameaslookup,"[0, 0, 0, 1, 1]"
336,SameAsLookup,it tests actual geometric,0,it tests actual geometric | sameaslookup,"[0, 0, 0, 1, 1]"
337,SameAsLookup,equality of two features,0,equality of two features | sameaslookup,"[0, 0, 0, 1, 1]"
338,SameAsLookup,so if a and b are the same feature,0,so if a and b are the same feature | sameaslookup,"[0, 0, 0, 1, 1]"
339,SameAsLookup,vertex by vertex the operator returns true,0,vertex by vertex the operator returns true | sameaslookup,"[0, 0, 0, 1, 1]"
340,Serializer,convert a queryset to json,0,convert a queryset to json | serializer,"[0, 0, 0, 0, 1]"
344,SessionStore,inside the custom session model,0,inside the custom session model | sessionstore,"[0, 0, 0, 1, 0]"
345,SimpleView,a simple view with a docstring,0,a simple view with a docstring | simpleview,"[0, 0, 0, 0, 1]"
347,SpatialRefSysMixin,spatialrefsys objects to reduce redundant code,0,spatialrefsys objects to reduce redundant code | spatialrefsysmixin,"[0, 0, 1, 0, 1]"
348,SplitHiddenDateTimeWidget,a widget that splits datetime input into two input type hidden inputs,0,a widget that splits datetime input into two input type hidden inputs | splithiddendatetimewidget,"[0, 0, 0, 0, 1]"
353,TemplateDoesNotExist,the exception used when a template does not exist,0,the exception used when a template does not exist | templatedoesnotexist,"[0, 0, 0, 0, 1]"
356,TemplateDoesNotExist,tried,0,tried | templatedoesnotexist,"[0, 1, 0, 0, 0]"
358,TemplateDoesNotExist,is formatted as a list of tuples containing origin status where,0,is formatted as a list of tuples containing origin status where | templatedoesnotexist,"[0, 1, 0, 0, 0]"
360,TemplateDoesNotExist,reason the template wasn t found,0,reason the template wasn t found | templatedoesnotexist,"[0, 1, 0, 0, 0]"
361,TemplateDoesNotExist,chain,0,chain | templatedoesnotexist,"[0, 1, 0, 0, 0]"
363,TemplateDoesNotExist,this is used to,0,this is used to | templatedoesnotexist,"[0, 1, 0, 0, 0]"
364,TemplateDoesNotExist,encapsulate multiple exceptions when loading templates from multiple,0,encapsulate multiple exceptions when loading templates from multiple | templatedoesnotexist,"[0, 1, 0, 0, 0]"
367,TestImageFieldFile,was opened,0,was opened | testimagefieldfile,"[0, 0, 0, 0, 1]"
369,TestUtils,this doc output is required for testing,0,this doc output is required for testing | testutils,"[0, 0, 1, 0, 0]"
371,UniqueAnchor,something for other models to point at,0,something for other models to point at | uniqueanchor,"[0, 0, 0, 0, 1]"
373,UserCreationForm,a form that creates a user with no privileges from the given username and,0,a form that creates a user with no privileges from the given username and | usercreationform,"[0, 1, 0, 0, 1]"
374,UserCreationForm,password,0,password | usercreationform,"[0, 1, 0, 0, 1]"
375,VariableWrapper,an adapter class for cursor variables that prevents the wrapped object,0,an adapter class for cursor variables that prevents the wrapped object | variablewrapper,"[0, 0, 0, 0, 1]"
376,VariableWrapper,from being converted into a string when used to instantiate an oracleparam,0,from being converted into a string when used to instantiate an oracleparam | variablewrapper,"[0, 0, 0, 0, 1]"
378,VariableWrapper,cursor execute as is,0,cursor execute as is | variablewrapper,"[1, 0, 0, 0, 0]"
380,WindowFrame,there are two types of frame,0,there are two types of frame | windowframe,"[0, 0, 0, 1, 0]"
381,WindowFrame,clauses which are subclasses however all processing and validation by no,0,clauses which are subclasses however all processing and validation by no | windowframe,"[0, 0, 0, 1, 0]"
382,WindowFrame,means intended to be complete is done here,0,means intended to be complete is done here | windowframe,"[0, 0, 0, 1, 0]"
385,XFrameOptionsMiddleware,a xframe options exempt value set to true,0,a xframe options exempt value set to true | xframeoptionsmiddleware,"[0, 0, 1, 0, 0]"
386,XFrameOptionsMiddleware,by default set the x frame options header to sameorigin meaning the,0,by default set the x frame options header to sameorigin meaning the | xframeoptionsmiddleware,"[1, 0, 1, 0, 0]"
387,XFrameOptionsMiddleware,response can only be loaded on a frame within the same site,0,response can only be loaded on a frame within the same site | xframeoptionsmiddleware,"[1, 0, 1, 0, 0]"
390,XFrameOptionsMiddleware,response from being loaded in a frame in any site set x frame options in,0,response from being loaded in a frame in any site set x frame options in | xframeoptionsmiddleware,"[1, 0, 1, 0, 0]"
391,XFrameOptionsMiddleware,your project s django settings to deny,0,your project s django settings to deny | xframeoptionsmiddleware,"[1, 0, 1, 0, 0]"
393,Audio,when this object is returned by an input cell or passed to the,0,when this object is returned by an input cell or passed to the | audio,"[0, 0, 0, 1, 0]"
395,Audio,in the frontend only works in the notebook,0,in the frontend only works in the notebook | audio,"[0, 0, 0, 1, 0]"
406,Audio,bytestring containing raw pcm data or,0,bytestring containing raw pcm data or | audio,"[0, 1, 0, 0, 0]"
410,Audio,dependent,0,dependent | audio,"[0, 1, 0, 0, 0]"
