index,comment_sentence,labels,drop_reason
946,description,[0 0 1 0 0 0],Token Count (1)
960,examples,[0 1 0 0 0 0],Token Count (1)
1000,xab,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1003,c,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1005,xac,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1006,x^^b..,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1007,a^^^^b,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1021,beforewaterparser,[0 0 0 0 1 0],Token Count (1)
1023,bwp,[0 0 0 0 1 0],Too Tiny (<6 alpha)
1027,island,[0 0 0 0 1 0],Token Count (1)
1042,argdictionary,[0 1 0 0 0 0],Token Count (1)
1045,asdictionary,[0 1 0 0 0 0],Token Count (1)
1083,examples,[0 1 0 0 0 0],Token Count (1)
1165,# 2 1,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1267,v,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1272,"eg,",[0 1 0 0 0 0],Too Tiny (<6 alpha)
1273,v,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1276,v open,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1280,code,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1290,# 166 217 106 # 102 189 99 # 26 152 80 # 0 104 55,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1298,.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1310,.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1314,^ b view,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1330,code,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1381,g,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1384,"eg,",[0 1 0 0 0 0],Too Tiny (<6 alpha)
1419,"eg,",[0 1 0 0 0 0],Too Tiny (<6 alpha)
1422,v add e.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1431,canvas,[0 0 0 0 1 0],Token Count (1)
1435,highlightable,[0 0 0 0 1 0],Token Count (1)
1438,offsetonedge,[0 0 0 0 1 0],Token Count (1)
1440,position,[0 0 0 0 1 0],Token Count (1)
1442,text,[0 0 0 0 1 0],Too Tiny (<6 alpha)
1445,code,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1449,element,[0 1 0 0 0 0],Token Count (1)
1451,@ rtdraggable.,[0 1 0 0 0 0],Token Count (1)
1454,element,[0 1 0 0 0 0],Token Count (1)
1456,@ rtdraggable.,[0 1 0 0 0 0],Token Count (1)
1464,add b2,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1467,v,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1479,popup,[0 0 0 0 1 0],Too Tiny (<6 alpha)
1494,v add l.,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1495,v,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1498,dcrtresizable,[0 0 0 0 0 1],Token Count (1)
1506,v open,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1528,code,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1536,^ b view,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1551,interval,[0 0 0 0 1 0],Token Count (1)
1586,v,[0 1 0 0 0 0],Too Tiny (<6 alpha)
1593,position,[0 0 0 0 1 0],Token Count (1)
1693,maximumrelativeage,[0 0 0 0 1 0],Token Count (1)
1697,maximumabsoluteage,[0 0 0 0 1 0],Token Count (1)
1755,initialize,[0 1 0 0 0 0],Token Count (1)
1824,selection,[0 1 0 0 0 0],Token Count (1)
1829,#codec,[0 0 0 0 1 0],Too Tiny (<6 alpha)
1830,#usessmalltalkencoding,[0 0 0 0 1 0],Token Count (1)
1832,codec,[0 0 0 0 1 0],Too Tiny (<6 alpha)
219,this class contains tests,[0 0 1 0 0 0],Exact Duplicate
306,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
580,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
626,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
704,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
806,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
880,fca model treillis context,[0 1 0 0 0 0],Exact Duplicate
896,i store metadata for this package.,[0 0 1 0 0 0],Exact Duplicate
956,public api and key messages,[0 0 0 0 1 0],Exact Duplicate
1237,examples errors,[0 1 0 0 0 0],Exact Duplicate
1274,v rtview new.,[0 1 0 0 0 0],Exact Duplicate
1484,v rtview new.,[0 1 0 0 0 0],Exact Duplicate
1501,v rtview new.,[0 1 0 0 0 0],Exact Duplicate
1572,b rtgrapher new.,[0 1 0 0 0 0],Exact Duplicate
1645,acanvas flush.,[0 1 0 0 0 0],Exact Duplicate
1699,0 for no limit.,[0 0 0 0 1 0],Exact Duplicate
